New York, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,26.4,-2.3
201502,20.2,-10.2
201503,35.8,-4.4
201504,54.4,1.0
201505,74.2,8.1
201506,73.0,-1.9
201507,79.0,-0.4
201508,78.4,1.3
201509,76.4,6.6
201510,57.6,-0.9
201511,52.6,8.2
201512,46.5,14.0
201601,32.0,3.3
201602,36.4,6.0
201603,48.5,8.3
201604,53.2,-0.2
201605,67.5,1.4
201606,76.3,1.4
201607,81.8,2.4
201608,81.6,4.5
201609,74.9,5.1
201610,60.0,1.5
201611,49.3,4.9
201612,34.8,2.3
201701,34.9,6.2
201702,39.7,9.3
201703,37.7,-2.5
201704,59.6,6.2
201705,63.8,-2.3
201706,74.6,-0.3
201707,77.8,-1.6
201708,76.6,-0.5
201709,73.6,3.8
201710,65.7,7.2
201711,44.9,0.5
201712,30.1,-2.4
201801,28.8,0.1
201802,38.8,8.4
201803,37.8,-2.4
201804,47.3,-6.1
201805,72.3,6.2
201806,74.4,-0.5
201807,82.7,3.3
201808,79.7,2.6
201809,72.7,2.9
201810,55.7,-2.8
201811,39.5,-4.9
201812,35.8,3.3
201901,28.8,0.1
201902,33.2,2.8
201903,39.6,-0.6
201904,55.2,1.8
201905,64.2,-1.9
201906,74.1,-0.8
201907,81.8,2.4
201908,77.8,0.7
201909,71.6,1.8
201910,59.9,1.4
201911,40.6,-3.8
201912,35.1,2.6
202001,35.7,7.0
202002,34.7,4.3
202003,46.8,6.6
202004,50.6,-2.8
202005,65.9,-0.2
202006,77.1,2.2
202007,83.7,4.3
202008,79.5,2.4
202009,70.7,0.9
202010,58.2,-0.3
202011,51.3,6.9
202012,36.6,4.1
202101,30.2,1.5
202102,30.3,-0.1
202103,46.8,6.6
202104,56.9,3.5
202105,66.4,0.3
202106,78.4,3.5
202107,76.9,-2.5
202108,80.0,2.9
202109,71.4,1.6
202110,63.1,4.6
202111,45.5,1.1
202112,40.0,7.5
202201,26.6,-2.1
202202,34.9,4.5
202203,44.0,3.8
202204,54.2,0.8
202205,70.7,4.6
202206,75.0,0.1
