New York, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,5.9,-5.1
201502,-1.8,-12.9
201503,15.2,-5.8
201504,32.1,-0.1
201505,47.8,5.0
201506,52.9,0.9
201507,57.2,0.2
201508,56.6,1.6
201509,53.5,5.4
201510,37.4,-0.1
201511,33.0,4.7
201512,32.0,15.4
201601,15.4,4.4
201602,17.0,5.9
201603,26.8,5.8
201604,29.5,-2.7
201605,44.0,1.2
201606,51.8,-0.2
201607,58.9,1.9
201608,60.2,5.2
201609,50.9,2.8
201610,41.0,3.5
201611,31.2,2.9
201612,20.4,3.8
201701,21.0,10.0
201702,21.4,10.3
201703,18.7,-2.3
201704,37.9,5.7
201705,44.2,1.4
201706,53.3,1.3
201707,58.3,1.3
201708,54.7,-0.3
201709,51.0,2.9
201710,43.9,6.4
201711,27.4,-0.9
201712,15.2,-1.4
201801,9.5,-1.5
201802,19.9,8.8
201803,21.9,0.9
201804,28.3,-3.9
201805,47.8,5.0
201806,52.3,0.3
201807,59.6,2.6
201808,61.2,6.2
201809,54.5,6.4
201810,39.8,2.3
201811,27.0,-1.3
201812,21.2,4.6
201901,10.1,-0.9
201902,15.2,4.1
201903,19.4,-1.6
201904,33.8,1.6
201905,44.3,1.5
201906,51.8,-0.2
201907,60.3,3.3
201908,55.5,0.5
201909,49.1,1.0
201910,40.5,3.0
201911,25.1,-3.2
201912,19.5,2.9
202001,19.7,8.7
202002,18.6,7.5
202003,27.6,6.6
202004,31.5,-0.7
202005,42.5,-0.3
202006,53.2,1.2
202007,62.2,5.2
202008,57.7,2.7
202009,48.4,0.3
202010,39.8,2.3
202011,32.4,4.1
202012,23.0,6.4
202101,17.9,6.9
202102,13.2,2.1
202103,23.2,2.2
202104,34.6,2.4
202105,43.0,0.2
202106,55.7,3.7
202107,58.5,1.5
202108,60.8,5.8
202109,52.0,3.9
202110,46.4,8.9
202111,28.5,0.2
202112,25.5,8.9
202201,5.0,-6.0
202202,12.6,1.5
202203,23.4,2.4
202204,33.4,1.2
202205,46.4,3.6
202206,52.5,0.5
