New York, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,2.34,-0.55
201502,2.00,-0.53
201503,1.61,-1.45
201504,3.02,-0.31
201505,2.75,-0.82
201506,7.69,3.92
201507,3.60,-0.20
201508,3.07,-0.63
201509,4.75,1.04
201510,3.70,0.31
201511,2.05,-1.37
201512,4.06,0.94
201601,1.73,-1.16
201602,4.36,1.83
201603,2.13,-0.93
201604,2.56,-0.77
201605,2.53,-1.04
201606,2.87,-0.90
201607,3.40,-0.40
201608,4.54,0.84
201609,2.49,-1.22
201610,5.43,2.04
201611,2.66,-0.76
201612,3.47,0.35
201701,3.40,0.51
201702,3.00,0.47
201703,3.44,0.38
201704,4.85,1.52
201705,5.85,2.28
201706,4.85,1.08
201707,5.24,1.44
201708,3.46,-0.24
201709,2.42,-1.29
201710,5.55,2.16
201711,2.76,-0.66
201712,2.56,-0.56
201801,3.45,0.56
201802,3.18,0.65
201803,3.00,-0.06
201804,3.86,0.53
201805,2.76,-0.81
201806,3.28,-0.49
201807,4.62,0.82
201808,5.36,1.66
201809,5.13,1.42
201810,4.73,1.34
201811,5.94,2.52
201812,3.27,0.15
201901,4.43,1.54
201902,2.72,0.19
201903,1.95,-1.11
201904,4.35,1.02
201905,5.33,1.76
201906,5.01,1.24
201907,3.67,-0.13
201908,3.91,0.21
201909,2.81,-0.90
201910,6.60,3.21
201911,3.43,0.01
201912,4.01,0.89
202001,2.78,-0.11
202002,3.03,0.50
202003,2.89,-0.17
202004,3.15,-0.18
202005,3.03,-0.54
202006,2.38,-1.39
202007,4.10,0.30
202008,4.61,0.91
202009,2.58,-1.13
202010,3.95,0.56
202011,2.78,-0.64
202012,4.00,0.88
202101,2.06,-0.83
202102,2.34,-0.19
202103,1.74,-1.32
202104,3.46,0.13
202105,3.04,-0.53
202106,3.36,-0.41
202107,8.10,4.30
202108,5.33,1.63
202109,4.92,1.21
202110,6.60,3.21
202111,2.67,-0.75
202112,2.63,-0.49
202201,2.06,-0.83
202202,3.83,1.30
202203,3.07,0.01
202204,4.64,1.31
202205,3.12,-0.45
202206,3.80,0.03
