New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,16.2,-5.5
201502,9.2,-14.8
201503,25.5,-6.6
201504,43.3,0.0
201505,61.0,4.5
201506,63.0,-1.2
201507,68.1,-1.8
201508,67.5,-1.1
201509,65.0,2.8
201510,47.4,-3.2
201511,42.8,5.1
201512,39.3,9.6
201601,23.7,2.0
201602,26.7,2.7
201603,37.7,5.6
201604,41.3,-2.0
201605,55.7,-0.8
201606,64.1,-0.1
201607,70.4,0.5
201608,70.9,2.3
201609,62.9,0.7
201610,50.5,-0.1
201611,40.2,2.5
201612,27.6,-2.1
201701,27.9,6.2
201702,30.6,6.6
201703,28.2,-3.9
201704,48.8,5.5
201705,54.0,-2.5
201706,63.9,-0.3
201707,68.1,-1.8
201708,65.6,-3.0
201709,62.3,0.1
201710,54.8,4.2
201711,36.2,-1.5
201712,22.6,-7.1
201801,19.1,-2.6
201802,29.4,5.4
201803,29.9,-2.2
201804,37.8,-5.5
201805,60.0,3.5
201806,63.4,-0.8
201807,71.2,1.3
201808,70.4,1.8
201809,63.6,1.4
201810,47.7,-2.9
201811,33.3,-4.4
201812,28.5,-1.2
201901,19.4,-2.3
201902,24.2,0.2
201903,29.5,-2.6
201904,44.5,1.2
201905,54.2,-2.3
201906,62.9,-1.3
201907,71.0,1.1
201908,66.6,-2.0
201909,60.3,-1.9
201910,50.2,-0.4
201911,32.8,-4.9
201912,27.3,-2.4
202001,27.7,6.0
202002,26.6,2.6
202003,37.2,5.1
202004,41.1,-2.2
202005,54.2,-2.3
202006,65.2,1.0
202007,72.9,3.0
202008,68.6,0.0
202009,59.6,-2.6
202010,49.0,-1.6
202011,41.9,4.2
202012,29.8,0.1
202101,24.1,2.4
202102,21.7,-2.3
202103,35.0,2.9
202104,45.8,2.5
202105,54.7,-1.8
202106,67.0,2.8
202107,67.7,-2.2
202108,70.4,1.8
202109,61.7,-0.5
202110,54.8,4.2
202111,37.0,-0.7
202112,32.8,3.1
202201,15.8,-5.9
202202,23.7,-0.3
202203,33.7,1.6
202204,43.8,0.5
202205,58.5,2.0
202206,63.8,-0.4
