North Carolina, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,50.0,-0.6
201502,45.6,-7.5
201503,62.3,1.2
201504,71.3,1.0
201505,80.4,1.8
201506,87.9,3.1
201507,88.4,1.0
201508,86.4,0.4
201509,80.9,-0.2
201510,70.7,-1.1
201511,64.5,3.3
201512,64.2,12.1
201601,48.4,-2.2
201602,53.1,0.0
201603,68.3,7.2
201604,71.3,1.0
201605,76.1,-2.5
201606,86.4,1.6
201607,90.4,3.0
201608,88.7,2.7
201609,83.9,2.8
201610,74.8,3.0
201611,64.9,3.7
201612,54.1,2.0
201701,54.9,4.3
201702,64.0,10.9
201703,62.7,1.6
201704,75.1,4.8
201705,78.5,-0.1
201706,84.0,-0.8
201707,88.7,1.3
201708,85.2,-0.8
201709,80.8,-0.3
201710,74.5,2.7
201711,62.3,1.1
201712,52.4,0.3
201801,47.6,-3.0
201802,62.4,9.3
201803,56.8,-4.3
201804,68.9,-1.4
201805,81.9,3.3
201806,87.2,2.4
201807,87.1,-0.3
201808,86.8,0.8
201809,84.7,3.6
201810,72.7,0.9
201811,58.3,-2.9
201812,54.2,2.1
201901,51.7,1.1
201902,58.6,5.5
201903,60.3,-0.8
201904,72.6,2.3
201905,83.7,5.1
201906,84.4,-0.4
201907,89.6,2.2
201908,86.9,0.9
201909,86.1,5.0
201910,75.4,3.6
201911,58.3,-2.9
201912,57.2,5.1
202001,55.7,5.1
202002,56.9,3.8
202003,66.1,5.0
202004,69.9,-0.4
202005,73.9,-4.7
202006,82.5,-2.3
202007,89.9,2.5
202008,86.0,0.0
202009,78.6,-2.5
202010,73.7,1.9
202011,66.4,5.2
202012,53.0,0.9
202101,50.1,-0.5
202102,51.0,-2.1
202103,64.8,3.7
202104,71.7,1.4
202105,77.9,-0.7
202106,83.6,-1.2
202107,86.9,-0.5
202108,87.3,1.3
202109,81.5,0.4
202110,74.9,3.1
202111,60.8,-0.4
202112,62.5,10.4
202201,49.4,-1.2
202202,58.2,5.1
202203,66.2,5.1
202204,71.7,1.4
202205,79.9,1.3
202206,86.7,1.9
