North Carolina, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,28.9,-0.6
201502,24.1,-6.7
201503,39.0,1.5
201504,48.7,3.3
201505,56.9,2.6
201506,66.7,4.4
201507,68.5,2.1
201508,65.8,0.6
201509,62.4,3.0
201510,49.3,2.0
201511,44.3,6.9
201512,45.3,14.5
201601,28.4,-1.1
201602,33.2,2.4
201603,44.2,6.7
201604,46.1,0.7
201605,55.5,1.2
201606,64.4,2.1
201607,69.8,3.4
201608,69.7,4.5
201609,64.6,5.2
201610,51.6,4.3
201611,38.5,1.1
201612,33.9,3.1
201701,35.8,6.3
201702,37.5,6.7
201703,37.4,-0.1
201704,52.7,7.3
201705,56.9,2.6
201706,63.5,1.2
201707,68.7,2.3
201708,66.5,1.3
201709,60.2,0.8
201710,51.1,3.8
201711,38.3,0.9
201712,32.5,1.7
201801,24.2,-5.3
201802,41.4,10.6
201803,35.8,-1.7
201804,43.3,-2.1
201805,61.4,7.1
201806,66.4,4.1
201807,67.4,1.0
201808,67.8,2.6
201809,67.7,8.3
201810,52.2,4.9
201811,38.5,1.1
201812,35.7,4.9
201901,32.2,2.7
201902,37.6,6.8
201903,37.4,-0.1
201904,49.6,4.2
201905,60.6,6.3
201906,64.0,1.7
201907,68.5,2.1
201908,67.0,1.8
201909,63.8,4.4
201910,53.9,6.6
201911,36.4,-1.0
201912,35.9,5.1
202001,36.2,6.7
202002,37.2,6.4
202003,45.6,8.1
202004,45.0,-0.4
202005,53.2,-1.1
202006,63.9,1.6
202007,69.4,3.0
202008,69.0,3.8
202009,60.8,1.4
202010,52.4,5.1
202011,43.1,5.7
202012,31.4,0.6
202101,31.4,1.9
202102,33.0,2.2
202103,41.2,3.7
202104,45.1,-0.3
202105,52.9,-1.4
202106,64.0,1.7
202107,67.2,0.8
202108,68.2,3.0
202109,59.6,0.2
202110,53.8,6.5
202111,35.0,-2.4
202112,38.9,8.1
202201,27.9,-1.6
202202,33.9,3.1
202203,40.7,3.2
202204,45.9,0.5
202205,58.1,3.8
202206,63.6,1.3
