North Carolina, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,0.71
201502,0.65
201503,-0.41
201504,-0.11
201505,-0.78
201506,-0.65
201507,-1.22
201508,-1.72
201509,0.09
201510,1.30
201511,2.66
201512,3.52
201601,2.79
201602,3.26
201603,-1.18
201604,-1.40
201605,-0.57
201606,-0.55
201607,-0.88
201608,-1.31
201609,0.80
201610,1.55
201611,-0.76
201612,-0.83
201701,-0.81
201702,-2.00
201703,-2.08
201704,0.94
201705,1.56
201706,1.62
201707,-0.40
201708,-0.42
201709,-0.53
201710,-0.29
201711,-0.96
201712,-1.14
201801,-0.94
201802,-1.42
201803,0.04
201804,0.85
201805,1.57
201806,1.13
201807,1.22
201808,1.55
201809,3.36
201810,3.58
201811,4.58
201812,5.45
201901,4.87
201902,4.67
201903,3.78
201904,3.94
201905,-1.05
201906,-0.56
201907,-1.01
201908,-1.16
201909,-1.78
201910,0.11
201911,0.13
201912,0.44
202001,0.47
202002,1.54
202003,0.69
202004,1.43
202005,2.92
202006,3.02
202007,2.18
202008,2.77
202009,3.58
202010,3.59
202011,4.30
202012,4.29
202101,4.17
202102,4.82
202103,-0.23
202104,-0.88
202105,-1.40
202106,0.72
202107,0.83
202108,1.07
202109,-0.17
202110,-0.27
202111,-1.01
202112,-1.65
202201,-1.05
202202,-1.37
202203,-1.54
202204,-1.66
202205,-1.35
202206,-2.13
