North Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,39.4,-1.4
201502,34.9,-10.6
201503,50.7,-1.1
201504,60.0,0.7
201505,68.6,0.6
201506,77.3,2.4
201507,78.5,-0.1
201508,76.1,-1.1
201509,71.6,-0.9
201510,60.0,-2.9
201511,54.4,3.7
201512,54.7,8.2
201601,38.4,-2.4
201602,43.2,-2.3
201603,56.2,4.4
201604,58.7,-0.6
201605,65.8,-2.2
201606,75.3,0.4
201607,80.1,1.5
201608,79.2,2.0
201609,74.3,1.8
201610,63.2,0.3
201611,51.7,1.0
201612,44.0,-2.5
201701,45.4,4.6
201702,50.7,5.2
201703,50.0,-1.8
201704,63.9,4.6
201705,67.7,-0.3
201706,73.8,-1.1
201707,78.7,0.1
201708,75.8,-1.4
201709,70.5,-2.0
201710,62.8,-0.1
201711,50.3,-0.4
201712,42.4,-4.1
201801,35.9,-4.9
201802,51.9,6.4
201803,46.3,-5.5
201804,56.1,-3.2
201805,71.6,3.6
201806,76.8,1.9
201807,77.2,-1.4
201808,77.3,0.1
201809,76.2,3.7
201810,62.5,-0.4
201811,48.4,-2.3
201812,45.0,-1.5
201901,42.0,1.2
201902,48.1,2.6
201903,48.8,-3.0
201904,61.1,1.8
201905,72.2,4.2
201906,74.2,-0.7
201907,79.0,0.4
201908,77.0,-0.2
201909,74.9,2.4
201910,64.6,1.7
201911,47.4,-3.3
201912,46.6,0.1
202001,46.0,5.2
202002,47.0,1.5
202003,55.9,4.1
202004,57.4,-1.9
202005,63.6,-4.4
202006,73.2,-1.7
202007,79.6,1.0
202008,77.5,0.3
202009,69.7,-2.8
202010,63.0,0.1
202011,54.8,4.1
202012,42.2,-4.3
202101,40.8,0.0
202102,42.0,-3.5
202103,53.0,1.2
202104,58.4,-0.9
202105,65.4,-2.6
202106,73.8,-1.1
202107,77.0,-1.6
202108,77.7,0.5
202109,70.6,-1.9
202110,64.4,1.5
202111,47.9,-2.8
202112,50.7,4.2
202201,38.6,-2.2
202202,46.1,0.6
202203,53.5,1.7
202204,58.8,-0.5
202205,69.0,1.0
202206,75.1,0.2
