North Dakota, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,25.0,8.7
201502,19.7,-2.3
201503,44.9,10.0
201504,58.2,5.1
201505,64.9,-1.9
201506,77.0,1.8
201507,82.3,0.0
201508,82.3,1.4
201509,76.0,6.3
201510,59.7,3.2
201511,42.6,6.7
201512,28.8,6.7
201601,22.8,6.5
201602,34.6,12.6
201603,48.1,13.2
201604,53.7,0.6
201605,70.2,3.4
201606,78.6,3.4
201607,81.2,-1.1
201608,81.6,0.7
201609,70.3,0.6
201610,56.5,0.0
201611,49.7,13.8
201612,17.8,-4.3
201701,18.4,2.1
201702,29.2,7.2
201703,37.3,2.4
201704,55.0,1.9
201705,68.7,1.9
201706,78.3,3.1
201707,86.7,4.4
201708,78.4,-2.5
201709,70.7,1.0
201710,58.1,1.6
201711,36.4,0.5
201712,24.7,2.6
201801,22.0,5.7
201802,16.3,-5.7
201803,33.3,-1.6
201804,44.9,-8.2
201805,74.4,7.6
201806,79.5,4.3
201807,82.1,-0.2
201808,82.1,1.2
201809,66.9,-2.8
201810,49.8,-6.7
201811,30.3,-5.6
201812,29.0,6.9
201901,18.7,2.4
201902,6.0,-16.0
201903,30.4,-4.5
201904,52.9,-0.2
201905,62.0,-4.8
201906,76.6,1.4
201907,81.1,-1.2
201908,77.6,-3.3
201909,68.6,-1.1
201910,46.3,-10.2
201911,34.2,-1.7
201912,24.8,2.7
202001,21.1,4.8
202002,28.1,6.1
202003,40.1,5.2
202004,50.3,-2.8
202005,65.0,-1.8
202006,80.4,5.2
202007,83.0,0.7
202008,82.9,2.0
202009,70.8,1.1
202010,48.1,-8.4
202011,43.9,8.0
202012,33.9,11.8
202101,29.2,12.9
202102,16.1,-5.9
202103,49.6,14.7
202104,54.4,1.3
202105,66.9,0.1
202106,84.1,8.9
202107,87.7,5.4
202108,82.7,1.8
202109,77.0,7.3
202110,59.6,3.1
202111,42.9,7.0
202112,24.0,1.9
202201,20.1,3.8
202202,21.4,-0.6
202203,37.2,2.3
202204,42.5,-10.6
202205,64.4,-2.4
202206,77.2,2.0
