North Dakota, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.35
201502,-0.25
201503,-0.48
201504,-1.18
201505,1.22
201506,1.28
201507,1.39
201508,-0.34
201509,-0.59
201510,-0.52
201511,-0.61
201512,-0.47
201601,-0.78
201602,-0.83
201603,-1.49
201604,-0.78
201605,-0.83
201606,-1.57
201607,0.96
201608,1.02
201609,1.87
201610,1.74
201611,1.36
201612,2.17
201701,0.03
201702,0.03
201703,-0.21
201704,-0.60
201705,-1.47
201706,-2.39
201707,-3.61
201708,-2.96
201709,-2.23
201710,-2.77
201711,-2.83
201712,-2.73
201801,-2.90
201802,-2.87
201803,-2.22
201804,-2.30
201805,-2.78
201806,-2.33
201807,-2.16
201808,-2.64
201809,0.01
201810,0.53
201811,0.68
201812,0.86
201901,0.72
201902,1.34
201903,1.12
201904,0.86
201905,1.19
201906,0.93
201907,1.51
201908,2.10
201909,5.10
201910,6.35
201911,6.25
201912,6.49
202001,6.26
202002,5.81
202003,5.44
202004,5.12
202005,4.47
202006,3.59
202007,4.41
202008,4.15
202009,-0.74
202010,-0.71
202011,-1.10
202012,-1.31
202101,-1.53
202102,-1.78
202103,-2.78
202104,-3.36
202105,-3.40
202106,-4.54
202107,-5.91
202108,-5.39
202109,-5.60
202110,1.53
202111,1.27
202112,1.65
202201,1.51
202202,1.32
202203,0.75
202204,2.76
202205,4.16
202206,3.52
