North Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,16.0,2.7
201502,8.4,-2.9
201503,33.0,3.7
201504,44.3,4.8
201505,52.4,-1.6
201506,65.1,-0.9
201507,69.9,-0.7
201508,68.0,0.5
201509,62.0,3.2
201510,47.8,4.7
201511,32.5,2.3
201512,21.1,3.8
201601,14.6,1.3
201602,25.6,14.3
201603,36.3,7.0
201604,41.8,2.3
201605,56.6,2.6
201606,66.0,0.0
201607,69.3,-1.3
201608,68.0,0.5
201609,58.6,-0.2
201610,46.1,3.0
201611,39.3,9.1
201612,10.2,-7.1
201701,11.2,-2.1
201702,20.5,9.2
201703,27.4,-1.9
201704,42.7,3.2
201705,54.8,0.8
201706,64.8,-1.2
201707,72.2,1.6
201708,65.2,-2.3
201709,58.3,-0.5
201710,45.0,1.9
201711,26.4,-3.8
201712,15.6,-1.7
201801,11.8,-1.5
201802,5.4,-5.9
201803,24.7,-4.6
201804,33.3,-6.2
201805,60.2,6.2
201806,67.4,1.4
201807,69.3,-1.3
201808,67.6,0.1
201809,55.0,-3.8
201810,39.1,-4.0
201811,22.9,-7.3
201812,20.8,3.5
201901,9.8,-3.5
201902,-2.7,-14.0
201903,20.6,-8.7
201904,41.8,2.3
201905,49.6,-4.4
201906,64.0,-2.0
201907,69.3,-1.3
201908,65.5,-2.0
201909,58.3,-0.5
201910,37.6,-5.5
201911,26.1,-4.1
201912,16.1,-1.2
202001,12.9,-0.4
202002,17.8,6.5
202003,29.8,0.5
202004,37.6,-1.9
202005,52.5,-1.5
202006,66.9,0.9
202007,70.3,-0.3
202008,69.2,1.7
202009,57.1,-1.7
202010,37.8,-5.3
202011,31.8,1.6
202012,23.4,6.1
202101,21.1,7.8
202102,5.8,-5.5
202103,35.8,6.5
202104,40.7,1.2
202105,52.7,-1.3
202106,69.3,3.3
202107,73.8,3.2
202108,68.8,1.3
202109,62.2,3.4
202110,48.6,5.5
202111,32.5,2.3
202112,14.0,-3.3
202201,8.7,-4.6
202202,9.4,-1.9
202203,26.9,-2.4
202204,33.6,-5.9
202205,52.9,-1.1
202206,64.6,-1.4
