Ohio, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,32.5,-2.5
201502,27.4,-10.6
201503,45.8,-2.6
201504,63.0,2.4
201505,77.0,4.9
201506,79.2,-1.4
201507,81.8,-2.8
201508,81.2,-1.2
201509,80.1,3.6
201510,65.0,0.6
201511,57.7,7.8
201512,51.7,13.6
201601,35.8,0.8
201602,42.6,4.6
201603,56.4,8.0
201604,62.3,1.7
201605,70.7,-1.4
201606,83.0,2.4
201607,85.4,0.8
201608,86.1,3.7
201609,80.9,4.4
201610,68.6,4.2
201611,56.8,6.9
201612,37.9,-0.2
201701,41.6,6.6
201702,50.3,12.3
201703,49.6,1.2
201704,68.4,7.8
201705,70.7,-1.4
201706,81.0,0.4
201707,83.0,-1.6
201708,80.5,-1.9
201709,77.3,0.8
201710,68.1,3.7
201711,51.2,1.3
201712,37.4,-0.7
201801,33.7,-1.3
201802,45.6,7.6
201803,45.0,-3.4
201804,55.8,-4.8
201805,79.9,7.8
201806,81.3,0.7
201807,84.5,-0.1
201808,83.0,0.6
201809,78.7,2.2
201810,64.2,-0.2
201811,43.6,-6.3
201812,42.2,4.1
201901,35.0,0.0
201902,41.5,3.5
201903,46.5,-1.9
201904,63.4,2.8
201905,73.5,1.4
201906,78.8,-1.8
201907,86.4,1.8
201908,82.4,0.0
201909,81.9,5.4
201910,68.2,3.8
201911,46.4,-3.5
201912,44.7,6.6
202001,41.7,6.7
202002,40.6,2.6
202003,53.9,5.5
202004,58.5,-2.1
202005,68.8,-3.3
202006,81.9,1.3
202007,88.1,3.5
202008,83.1,0.7
202009,76.2,-0.3
202010,63.1,-1.3
202011,57.1,7.2
202012,40.5,2.4
202101,36.1,1.1
202102,32.7,-5.3
202103,57.5,9.1
202104,63.1,2.5
202105,70.7,-1.4
202106,81.8,1.2
202107,82.7,-1.9
202108,84.8,2.4
202109,78.0,1.5
202110,69.4,5.0
202111,50.1,0.2
202112,49.6,11.5
202201,32.9,-2.1
202202,40.1,2.1
202203,54.4,6.0
202204,59.2,-1.4
202205,74.7,2.6
202206,82.6,2.0
