Ohio, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,1.65
201502,1.14
201503,1.23
201504,1.50
201505,0.86
201506,2.57
201507,2.86
201508,-0.26
201509,-0.31
201510,-0.14
201511,-0.48
201512,0.45
201601,-0.44
201602,0.49
201603,-0.02
201604,-0.10
201605,-0.25
201606,-0.61
201607,-1.04
201608,-0.97
201609,-0.83
201610,-0.86
201611,-1.84
201612,-1.84
201701,0.57
201702,0.20
201703,0.66
201704,0.46
201705,1.01
201706,1.21
201707,2.34
201708,1.79
201709,1.11
201710,1.44
201711,2.47
201712,1.99
201801,1.74
201802,3.02
201803,2.80
201804,3.27
201805,2.55
201806,2.87
201807,2.25
201808,2.64
201809,3.76
201810,3.80
201811,5.14
201812,5.14
201901,5.03
201902,5.72
201903,5.31
201904,5.00
201905,4.74
201906,5.56
201907,5.15
201908,4.78
201909,3.50
201910,3.56
201911,3.09
201912,3.19
202001,3.27
202002,3.31
202003,3.49
202004,3.30
202005,3.58
202006,-0.41
202007,-1.03
202008,-1.02
202009,-0.92
202010,-0.16
202011,-0.40
202012,-0.55
202101,-0.67
202102,-0.67
202103,-1.02
202104,-1.30
202105,0.04
202106,0.07
202107,0.98
202108,1.29
202109,1.55
202110,2.29
202111,2.13
202112,2.50
202201,2.21
202202,3.27
202203,2.52
202204,2.06
202205,2.28
202206,1.94
