Ohio, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,24.4,-4.2
201502,17.3,-13.9
201503,35.9,-5.2
201504,51.5,1.0
201505,65.0,2.9
201506,69.8,-0.6
201507,71.6,-2.5
201508,70.1,-2.5
201509,68.4,0.6
201510,54.4,-1.9
201511,47.3,4.9
201512,43.7,8.1
201601,27.2,-1.4
201602,33.6,2.4
201603,46.5,5.4
201604,50.2,-0.3
201605,59.7,-2.4
201606,71.2,0.8
201607,74.8,0.7
201608,76.0,3.4
201609,69.2,1.4
201610,57.7,1.4
201611,45.8,3.4
201612,31.0,-4.6
201701,34.6,6.0
201702,40.5,9.3
201703,40.4,-0.7
201704,56.6,6.1
201705,60.1,-2.0
201706,69.6,-0.8
201707,73.0,-1.1
201708,69.7,-2.9
201709,65.8,-2.0
201710,57.4,1.1
201711,41.8,-0.6
201712,29.2,-6.4
201801,25.0,-3.6
201802,36.6,5.4
201803,36.4,-4.7
201804,45.1,-5.4
201805,68.0,5.9
201806,71.4,1.0
201807,73.8,-0.3
201808,73.6,1.0
201809,69.6,1.8
201810,54.3,-2.0
201811,37.4,-5.0
201812,35.1,-0.5
201901,27.4,-1.2
201902,33.0,1.8
201903,36.8,-4.3
201904,52.3,1.8
201905,62.8,0.7
201906,68.8,-1.6
201907,75.9,1.8
201908,71.8,-0.8
201909,69.8,2.0
201910,56.5,0.2
201911,37.4,-5.0
201912,36.2,0.6
202001,34.9,6.3
202002,32.8,1.6
202003,44.7,3.6
202004,47.8,-2.7
202005,58.4,-3.7
202006,70.4,0.0
202007,76.9,2.8
202008,72.2,-0.4
202009,64.7,-3.1
202010,53.5,-2.8
202011,46.4,4.0
202012,33.6,-2.0
202101,30.9,2.3
202102,25.3,-5.9
202103,44.8,3.7
202104,51.4,0.9
202105,58.8,-3.3
202106,71.5,1.1
202107,73.0,-1.1
202108,74.7,2.1
202109,66.9,-0.9
202110,60.3,4.0
202111,40.5,-1.9
202112,40.2,4.6
202201,24.0,-4.6
202202,30.7,-0.5
202203,43.2,2.1
202204,48.7,-1.8
202205,63.8,1.7
202206,70.6,0.2
