Oklahoma, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,49.7,1.8
201502,50.2,-3.3
201503,63.0,1.2
201504,73.1,1.3
201505,75.8,-3.9
201506,89.2,0.7
201507,92.9,-1.0
201508,91.3,-2.1
201509,88.9,3.3
201510,76.1,1.6
201511,62.7,2.1
201512,56.4,6.3
201601,49.5,1.6
201602,61.4,7.9
201603,68.1,6.3
201604,73.9,2.1
201605,77.5,-2.2
201606,90.8,2.3
201607,94.7,0.8
201608,92.4,-1.0
201609,87.4,1.8
201610,80.3,5.8
201611,68.2,7.6
201612,50.9,0.8
201701,53.1,5.2
201702,64.2,10.7
201703,69.3,7.5
201704,72.9,1.1
201705,79.9,0.2
201706,88.6,0.1
201707,94.2,0.3
201708,87.5,-5.9
201709,85.4,-0.2
201710,75.4,0.9
201711,65.3,4.7
201712,52.0,1.9
201801,50.3,2.4
201802,53.3,-0.2
201803,66.5,4.7
201804,68.5,-3.3
201805,87.5,7.8
201806,92.2,3.7
201807,95.1,1.2
201808,91.0,-2.4
201809,83.6,-2.0
201810,70.3,-4.2
201811,57.0,-3.6
201812,51.5,1.4
201901,48.9,1.0
201902,50.4,-3.1
201903,58.8,-3.0
201904,73.1,1.3
201905,77.4,-2.3
201906,86.7,-1.8
201907,92.6,-1.3
201908,93.7,0.3
201909,90.8,5.2
201910,70.0,-4.5
201911,59.3,-1.3
201912,55.3,5.2
202001,53.6,5.7
202002,53.1,-0.4
202003,66.6,4.8
202004,71.1,-0.7
202005,78.9,-0.8
202006,91.2,2.7
202007,93.6,-0.3
202008,91.9,-1.5
202009,81.8,-3.8
202010,71.3,-3.2
202011,66.4,5.8
202012,53.5,3.4
202101,50.1,2.2
202102,42.0,-11.5
202103,66.4,4.6
202104,69.8,-2.0
202105,75.8,-3.9
202106,88.4,-0.1
202107,91.0,-2.9
202108,92.6,-0.8
202109,90.9,5.3
202110,77.6,3.1
202111,64.5,3.9
202112,64.6,14.5
202201,51.7,3.8
202202,52.6,-0.9
202203,65.2,3.4
202204,74.6,2.8
202205,82.2,2.5
202206,91.0,2.5
