Oklahoma, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,25.8,0.7
201502,25.3,-3.7
201503,39.1,2.2
201504,49.8,2.8
201505,56.4,0.0
201506,67.6,2.3
201507,71.3,1.8
201508,67.3,-1.1
201509,64.4,3.8
201510,50.6,1.9
201511,40.1,3.8
201512,32.7,4.9
201601,26.9,1.8
201602,33.4,4.4
201603,41.4,4.5
201604,48.8,1.8
201605,54.9,-1.5
201606,67.7,2.4
201607,71.7,2.2
201608,69.3,0.9
201609,63.1,2.5
201610,53.9,5.2
201611,42.7,6.4
201612,26.7,-1.1
201701,28.6,3.5
201702,36.7,7.7
201703,43.0,6.1
201704,49.8,2.8
201705,53.8,-2.6
201706,66.0,0.7
201707,70.8,1.3
201708,67.1,-1.3
201709,61.1,0.5
201710,48.6,-0.1
201711,40.4,4.1
201712,28.9,1.1
201801,23.0,-2.1
201802,28.6,-0.4
201803,39.4,2.5
201804,39.8,-7.2
201805,62.6,6.2
201806,69.0,3.7
201807,70.4,0.9
201808,68.8,0.4
201809,64.2,3.6
201810,50.0,1.3
201811,32.0,-4.3
201812,30.1,2.3
201901,27.7,2.6
201902,30.1,1.1
201903,35.8,-1.1
201904,47.7,0.7
201905,56.6,0.2
201906,64.1,-1.2
201907,69.0,-0.5
201908,71.1,2.7
201909,68.6,8.0
201910,44.8,-3.9
201911,33.0,-3.3
201912,31.1,3.3
202001,30.9,5.8
202002,30.4,1.4
202003,44.3,7.4
202004,44.7,-2.3
202005,55.5,-0.9
202006,66.3,1.0
202007,71.6,2.1
202008,67.0,-1.4
202009,58.8,-1.8
202010,45.2,-3.5
202011,40.6,4.3
202012,28.6,0.8
202101,29.3,4.2
202102,20.6,-8.4
202103,41.4,4.5
202104,44.9,-2.1
202105,56.0,-0.4
202106,66.3,1.0
202107,68.8,-0.7
202108,70.0,1.6
202109,62.5,1.9
202110,51.2,2.5
202111,37.7,1.4
202112,36.2,8.4
202201,22.0,-3.1
202202,24.2,-4.8
202203,35.7,-1.2
202204,47.5,0.5
202205,58.8,2.4
202206,67.7,2.4
