Oklahoma, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.34
201502,-0.46
201503,-0.47
201504,0.57
201505,3.57
201506,3.50
201507,4.29
201508,4.26
201509,3.31
201510,3.01
201511,4.11
201512,5.64
201601,4.91
201602,4.11
201603,3.53
201604,4.18
201605,-0.16
201606,-0.39
201607,-0.14
201608,-0.03
201609,-0.10
201610,-0.68
201611,-1.32
201612,-1.86
201701,-1.59
201702,-1.80
201703,-1.97
201704,1.13
201705,1.01
201706,0.52
201707,0.71
201708,2.27
201709,1.88
201710,1.94
201711,-0.76
201712,-1.15
201801,-1.63
201802,-0.69
201803,-0.85
201804,-0.86
201805,-1.37
201806,-1.54
201807,-1.53
201808,0.56
201809,1.14
201810,2.38
201811,2.16
201812,3.22
201901,3.46
201902,3.21
201903,3.07
201904,3.02
201905,4.86
201906,4.89
201907,4.50
201908,4.99
201909,4.11
201910,4.42
201911,4.25
201912,3.73
202001,4.47
202002,4.23
202003,4.68
202004,4.21
202005,3.94
202006,2.93
202007,3.01
202008,2.83
202009,2.97
202010,2.93
202011,2.17
202012,2.13
202101,2.30
202102,1.97
202103,1.93
202104,1.96
202105,2.14
202106,2.34
202107,2.83
202108,2.77
202109,-0.89
202110,-0.52
202111,-0.99
202112,-1.67
202201,-2.14
202202,-2.25
202203,-2.19
202204,-2.28
202205,-1.80
202206,-1.72
