Oklahoma, Precipitation
Units: Inches
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,1.21,-0.47
201502,1.18,-0.59
201503,2.41,-0.49
201504,4.85,0.77
201505,14.44,7.53
201506,4.81,1.03
201507,5.43,1.64
201508,2.45,-1.34
201509,2.07,-1.10
201510,3.26,-0.66
201511,6.05,4.19
201512,5.56,3.37
201601,0.50,-1.18
201602,1.02,-0.75
201603,2.47,-0.43
201604,6.05,1.97
201605,3.86,-3.05
201606,3.26,-0.52
201607,3.72,-0.07
201608,2.90,-0.89
201609,3.53,0.36
201610,1.87,-2.05
201611,1.25,-0.61
201612,0.76,-1.43
201701,2.59,0.91
201702,2.05,0.28
201703,2.60,-0.30
201704,6.62,2.54
201705,4.49,-2.42
201706,2.57,-1.21
201707,3.85,0.06
201708,6.42,2.63
201709,2.57,-0.60
201710,3.62,-0.30
201711,0.26,-1.60
201712,0.97,-1.22
201801,0.53,-1.15
201802,4.09,2.32
201803,2.10,-0.80
201804,2.18,-1.90
201805,3.92,-2.99
201806,3.70,-0.08
201807,3.26,-0.53
201808,4.27,0.48
201809,5.50,2.33
201810,6.55,2.63
201811,1.09,-0.77
201812,3.82,1.63
201901,2.10,0.42
201902,1.48,-0.29
201903,2.63,-0.27
201904,3.91,-0.17
201905,11.61,4.70
201906,5.09,1.31
201907,1.83,-1.96
201908,5.14,1.35
201909,3.01,-0.16
201910,4.75,0.83
201911,2.34,0.48
201912,1.09,-1.10
202001,3.60,1.92
202002,1.83,0.06
202003,5.17,2.27
202004,2.92,-1.16
202005,5.07,-1.84
202006,2.09,-1.69
202007,4.75,0.96
202008,2.79,-1.00
202009,4.40,1.23
202010,3.21,-0.71
202011,1.10,-0.76
202012,2.28,0.09
202101,2.25,0.57
202102,0.80,-0.97
202103,3.19,0.29
202104,3.44,-0.64
202105,5.60,-1.31
202106,5.04,1.26
202107,3.68,-0.11
202108,2.56,-1.23
202109,1.09,-2.08
202110,4.20,0.28
202111,0.90,-0.96
202112,0.88,-1.31
202201,0.65,-1.03
202202,1.70,-0.07
202203,2.59,-0.31
202204,2.65,-1.43
202205,6.29,-0.62
202206,3.71,-0.07
