Oklahoma, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,37.7,-1.1
201502,37.8,-3.3
201503,51.1,-1.7
201504,61.4,2.0
201505,66.1,-2.0
201506,78.4,0.1
201507,82.1,0.1
201508,79.3,-0.8
201509,76.6,1.5
201510,63.4,1.6
201511,51.4,0.7
201512,44.6,1.8
201601,38.2,-0.6
201602,47.4,6.3
201603,54.7,1.9
201604,61.4,2.0
201605,66.2,-1.9
201606,79.2,0.9
201607,83.2,1.2
201608,80.8,0.7
201609,75.3,0.2
201610,67.1,5.3
201611,55.4,4.7
201612,38.8,-4.0
201701,40.9,2.1
201702,50.5,9.4
201703,56.2,3.4
201704,61.4,2.0
201705,66.9,-1.2
201706,77.3,-1.0
201707,82.5,0.5
201708,77.3,-2.8
201709,73.3,-1.8
201710,62.0,0.2
201711,52.9,2.2
201712,40.5,-2.3
201801,36.6,-2.2
201802,41.0,-0.1
201803,53.0,0.2
201804,54.2,-5.2
201805,75.1,7.0
201806,80.6,2.3
201807,82.7,0.7
201808,79.9,-0.2
201809,73.9,-1.2
201810,60.1,-1.7
201811,44.5,-6.2
201812,40.8,-2.0
201901,38.3,-0.5
201902,40.3,-0.8
201903,47.3,-5.5
201904,60.4,1.0
201905,67.0,-1.1
201906,75.4,-2.9
201907,80.8,-1.2
201908,82.4,2.3
201909,79.7,4.6
201910,57.4,-4.4
201911,46.2,-4.5
201912,43.2,0.4
202001,42.2,3.4
202002,41.8,0.7
202003,55.5,2.7
202004,57.9,-1.5
202005,67.2,-0.9
202006,78.8,0.5
202007,82.6,0.6
202008,79.4,-0.7
202009,70.3,-4.8
202010,58.3,-3.5
202011,53.5,2.8
202012,41.0,-1.8
202101,39.7,0.9
202102,31.3,-9.8
202103,53.9,1.1
202104,57.4,-2.0
202105,65.9,-2.2
202106,77.4,-0.9
202107,80.0,-2.0
202108,81.3,1.2
202109,76.7,1.6
202110,64.4,2.6
202111,51.1,0.4
202112,50.4,7.6
202201,36.9,-1.9
202202,38.4,-2.7
202203,50.5,-2.3
202204,61.0,1.6
202205,70.5,2.4
202206,79.4,1.1
