Oregon, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,29.9,7.0
201502,32.5,6.5
201503,33.7,5.0
201504,31.8,-0.7
201505,41.6,3.6
201506,50.5,6.8
201507,52.6,3.4
201508,51.2,2.9
201509,43.4,0.4
201510,41.9,5.9
201511,27.1,-2.1
201512,26.2,1.5
201601,26.2,3.3
201602,31.0,5.0
201603,32.0,3.3
201604,37.4,4.9
201605,40.9,2.9
201606,46.1,2.4
201607,49.4,0.2
201608,50.3,2.0
201609,42.7,-0.3
201610,39.0,3.0
201611,35.0,5.8
201612,19.2,-5.5
201701,18.8,-4.1
201702,27.5,1.5
201703,33.1,4.4
201704,32.7,0.2
201705,39.6,1.6
201706,46.3,2.6
201707,52.9,3.7
201708,53.7,5.4
201709,46.1,3.1
201710,34.7,-1.3
201711,31.7,2.5
201712,24.5,-0.2
201801,30.4,7.5
201802,24.1,-1.9
201803,28.4,-0.3
201804,33.8,1.3
201805,42.8,4.8
201806,44.3,0.6
201807,52.4,3.2
201808,50.7,2.4
201809,42.1,-0.9
201810,36.8,0.8
201811,29.6,0.4
201812,25.2,0.5
201901,27.5,4.6
201902,21.8,-4.2
201903,26.7,-2.0
201904,35.8,3.3
201905,40.8,2.8
201906,44.8,1.1
201907,50.0,0.8
201908,51.8,3.5
201909,44.6,1.6
201910,31.0,-5.0
201911,29.9,0.7
201912,27.8,3.1
202001,28.6,5.7
202002,25.6,-0.4
202003,28.4,-0.3
202004,33.8,1.3
202005,40.0,2.0
202006,45.2,1.5
202007,50.0,0.8
202008,51.3,3.0
202009,47.4,4.4
202010,37.7,1.7
202011,29.2,0.0
202012,26.2,1.5
202101,27.5,4.6
202102,25.8,-0.2
202103,27.7,-1.0
202104,32.6,0.1
202105,38.8,0.8
202106,50.2,6.5
202107,55.3,6.1
202108,50.9,2.6
202109,44.2,1.2
202110,36.9,0.9
202111,33.4,4.2
202112,25.7,1.0
202201,26.2,3.3
202202,25.0,-1.0
202203,31.3,2.6
202204,29.3,-3.2
202205,36.2,-1.8
202206,45.2,1.5
