Oregon, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-1.89
201502,-2.01
201503,-2.65
201504,-2.80
201505,-2.58
201506,-3.17
201507,-3.52
201508,-3.70
201509,-3.65
201510,-3.83
201511,-3.79
201512,-1.79
201601,-1.45
201602,-2.04
201603,-1.34
201604,-1.80
201605,-2.02
201606,-2.31
201607,-2.48
201608,-2.81
201609,-2.94
201610,2.00
201611,1.94
201612,1.98
201701,1.91
201702,2.91
201703,3.47
201704,3.97
201705,-0.33
201706,-0.51
201707,-1.11
201708,-1.72
201709,-1.60
201710,-1.20
201711,-0.90
201712,-1.66
201801,-1.85
201802,-2.21
201803,-2.06
201804,-1.42
201805,-1.89
201806,-2.09
201807,-2.71
201808,-3.15
201809,-3.48
201810,-3.39
201811,-3.85
201812,-3.78
201901,-3.93
201902,1.35
201903,0.55
201904,1.61
201905,1.61
201906,0.96
201907,0.50
201908,0.28
201909,1.19
201910,-0.25
201911,-1.55
201912,-2.18
202001,-1.34
202002,-1.91
202003,-2.29
202004,-2.65
202005,-2.02
202006,-1.56
202007,-1.32
202008,-1.60
202009,-1.84
202010,-2.32
202011,-2.24
202012,-2.45
202101,-2.33
202102,-1.72
202103,-2.39
202104,-3.12
202105,-3.46
202106,-3.99
202107,-4.93
202108,-5.24
202109,-4.44
202110,-3.77
202111,-3.73
202112,-3.12
202201,-3.44
202202,-4.15
202203,-4.56
202204,1.13
202205,2.02
202206,2.44
