Oregon, Precipitation
Units: Inches
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,1.98,-2.30
201502,3.58,-0.10
201503,2.59,-0.56
201504,1.55,-1.13
201505,2.17,0.05
201506,0.42,-0.86
201507,0.76,0.46
201508,0.38,0.11
201509,0.83,-0.39
201510,1.93,-0.99
201511,3.85,0.26
201512,10.13,5.07
201601,5.16,0.88
201602,2.48,-1.20
201603,4.96,1.81
201604,1.78,-0.90
201605,1.57,-0.55
201606,1.03,-0.25
201607,0.66,0.36
201608,0.10,-0.17
201609,0.61,-0.61
201610,7.24,4.32
201611,3.83,0.24
201612,5.26,0.20
201701,5.01,0.73
201702,6.48,2.80
201703,5.79,2.64
201704,3.89,1.21
201705,1.59,-0.53
201706,1.38,0.10
201707,0.07,-0.23
201708,0.21,-0.06
201709,1.37,0.15
201710,3.11,0.19
201711,5.11,1.52
201712,2.21,-2.85
201801,4.14,-0.14
201802,2.29,-1.39
201803,3.42,0.27
201804,3.26,0.58
201805,1.27,-0.85
201806,1.13,-0.15
201807,0.06,-0.24
201808,0.16,-0.11
201809,0.31,-0.91
201810,2.12,-0.80
201811,2.71,-0.88
201812,4.54,-0.52
201901,3.48,-0.80
201902,6.62,2.94
201903,2.05,-1.10
201904,4.76,2.08
201905,2.55,0.43
201906,0.66,-0.62
201907,0.26,-0.04
201908,0.67,0.40
201909,2.68,1.46
201910,1.57,-1.35
201911,1.19,-2.40
201912,3.54,-1.52
202001,6.75,2.47
202002,2.17,-1.51
202003,2.39,-0.76
202004,1.37,-1.31
202005,2.99,0.87
202006,1.99,0.71
202007,0.12,-0.18
202008,0.15,-0.12
202009,0.89,-0.33
202010,1.36,-1.56
202011,4.60,1.01
202012,3.98,-1.08
202101,4.51,0.23
202102,4.47,0.79
202103,1.84,-1.31
202104,0.66,-2.02
202105,1.07,-1.05
202106,0.97,-0.31
202107,0.16,-0.14
202108,0.21,-0.06
202109,1.88,0.66
202110,3.13,0.21
202111,3.86,0.27
202112,5.75,0.69
202201,3.17,-1.11
202202,1.32,-2.36
202203,2.18,-0.97
202204,4.14,1.46
202205,3.71,1.59
202206,2.68,1.40
