Oregon, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,38.1,3.7
201502,41.7,6.2
201503,45.7,5.2
201504,44.7,-0.5
201505,53.5,1.0
201506,65.6,5.0
201507,67.5,-0.3
201508,66.9,-0.7
201509,58.1,-1.1
201510,54.3,4.9
201511,35.8,-4.0
201512,32.4,0.1
201601,33.1,-1.3
201602,40.2,4.7
201603,41.2,0.7
201604,50.1,4.9
201605,53.2,0.7
201606,60.5,-0.1
201607,64.4,-3.4
201608,66.7,-0.9
201609,57.1,-2.1
201610,48.1,-1.3
201611,43.2,3.4
201612,27.4,-4.9
201701,26.7,-7.7
201702,34.8,-0.7
201703,41.6,1.1
201704,42.9,-2.3
201705,52.9,0.4
201706,59.9,-0.7
201707,69.2,1.4
201708,69.6,2.0
201709,59.6,0.4
201710,47.0,-2.4
201711,39.3,-0.5
201712,32.9,0.6
201801,37.5,3.1
201802,33.2,-2.3
201803,38.4,-2.1
201804,45.0,-0.2
201805,55.4,2.9
201806,58.5,-2.1
201807,69.0,1.2
201808,66.5,-1.1
201809,57.4,-1.8
201810,48.8,-0.6
201811,39.3,-0.5
201812,32.3,0.0
201901,35.3,0.9
201902,28.8,-6.7
201903,37.3,-3.2
201904,46.1,0.9
201905,52.7,0.2
201906,59.0,-1.6
201907,64.9,-2.9
201908,67.1,-0.5
201909,56.6,-2.6
201910,43.2,-6.2
201911,40.5,0.7
201912,34.2,1.9
202001,34.9,0.5
202002,35.8,0.3
202003,38.8,-1.7
202004,46.3,1.1
202005,52.6,0.1
202006,57.9,-2.7
202007,66.0,-1.8
202008,67.2,-0.4
202009,62.6,3.4
202010,51.3,1.9
202011,38.3,-1.5
202012,34.2,1.9
202101,34.8,0.4
202102,33.6,-1.9
202103,39.0,-1.5
202104,46.6,1.4
202105,52.0,-0.5
202106,65.2,4.6
202107,71.4,3.6
202108,66.4,-1.2
202109,59.4,0.2
202110,47.6,-1.8
202111,41.9,2.1
202112,32.4,0.1
202201,34.8,0.4
202202,35.8,0.3
202203,41.8,1.3
202204,40.2,-5.0
202205,47.7,-4.8
202206,58.1,-2.5
202207,69.6,1.8
202208,70.6,3.0
202209,62.6,3.4
202210,54.5,5.1
