Pennsylvania, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,30.9,-2.6
201502,26.8,-9.0
201503,42.1,-3.7
201504,60.5,2.2
201505,76.2,6.3
201506,77.0,-0.8
201507,81.3,-0.6
201508,80.6,0.8
201509,78.0,4.8
201510,61.4,-0.6
201511,55.9,7.8
201512,50.0,13.4
201601,34.2,0.7
201602,40.2,4.4
201603,55.0,9.2
201604,59.9,1.6
201605,68.4,-1.5
201606,79.2,1.4
201607,84.8,2.9
201608,84.5,4.7
201609,78.2,5.0
201610,64.2,2.2
201611,53.5,5.4
201612,38.2,1.6
201701,38.6,5.1
201702,46.7,10.9
201703,45.0,-0.8
201704,65.5,7.2
201705,67.4,-2.5
201706,78.4,0.6
201707,81.6,-0.3
201708,78.2,-1.6
201709,75.0,1.8
201710,67.2,5.2
201711,48.6,0.5
201712,35.6,-1.0
201801,32.7,-0.8
201802,43.6,7.8
201803,41.7,-4.1
201804,53.8,-4.5
201805,75.9,6.0
201806,77.1,-0.7
201807,82.9,1.0
201808,81.3,1.5
201809,74.8,1.6
201810,61.0,-1.0
201811,43.0,-5.1
201812,40.2,3.6
201901,34.0,0.5
201902,38.8,3.0
201903,44.8,-1.0
201904,61.7,3.4
201905,71.2,1.3
201906,76.9,-0.9
201907,84.0,2.1
201908,80.5,0.7
201909,76.9,3.7
201910,64.4,2.4
201911,45.6,-2.5
201912,40.2,3.6
202001,40.0,6.5
202002,41.4,5.6
202003,52.6,6.8
202004,55.5,-2.8
202005,67.0,-2.9
202006,79.6,1.8
202007,86.6,4.7
202008,83.0,3.2
202009,73.5,0.3
202010,62.0,0.0
202011,55.4,7.3
202012,39.0,2.4
202101,35.5,2.0
202102,34.2,-1.6
202103,53.1,7.3
202104,61.0,2.7
202105,69.1,-0.8
202106,80.1,2.3
202107,81.7,-0.2
202108,82.7,2.9
202109,74.7,1.5
202110,66.7,4.7
202111,48.5,0.4
202112,45.8,9.2
202201,31.9,-1.6
202202,40.5,4.7
202203,50.4,4.6
202204,57.9,-0.4
202205,72.5,2.6
202206,79.1,1.3
