Pennsylvania, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,14.1,-3.0
201502,5.5,-11.8
201503,21.2,-4.7
201504,36.4,1.0
201505,50.6,5.2
201506,57.3,3.1
201507,59.5,0.7
201508,57.1,0.1
201509,55.1,4.9
201510,40.0,0.8
201511,35.2,4.7
201512,34.5,13.3
201601,16.7,-0.4
201602,21.3,4.0
201603,31.6,5.7
201604,34.0,-1.4
201605,46.5,1.1
201606,55.5,1.3
201607,61.2,2.4
201608,62.4,5.4
201609,54.1,3.9
201610,43.0,3.8
201611,31.8,1.3
201612,24.1,2.9
201701,25.1,8.0
201702,26.6,9.3
201703,25.7,-0.2
201704,41.8,6.4
201705,46.8,1.4
201706,55.3,1.1
201707,61.1,2.3
201708,56.5,-0.5
201709,52.5,2.3
201710,45.2,6.0
201711,29.7,-0.8
201712,20.4,-0.8
201801,13.6,-3.5
201802,25.0,7.7
201803,24.4,-1.5
201804,32.7,-2.7
201805,52.0,6.6
201806,56.2,2.0
201807,60.4,1.6
201808,62.8,5.8
201809,58.5,8.3
201810,43.6,4.4
201811,30.3,-0.2
201812,26.8,5.6
201901,17.7,0.6
201902,21.5,4.2
201903,24.5,-1.4
201904,39.3,3.9
201905,50.1,4.7
201906,54.7,0.5
201907,62.3,3.5
201908,58.6,1.6
201909,53.4,3.2
201910,43.1,3.9
201911,27.4,-3.1
201912,25.0,3.8
202001,24.4,7.3
202002,25.1,7.8
202003,32.4,6.5
202004,34.6,-0.8
202005,44.9,-0.5
202006,54.9,0.7
202007,63.1,4.3
202008,60.2,3.2
202009,50.7,0.5
202010,42.4,3.2
202011,34.2,3.7
202012,25.1,3.9
202101,23.3,6.2
202102,19.0,1.7
202103,28.5,2.6
202104,37.7,2.3
202105,44.9,-0.5
202106,57.2,3.0
202107,60.7,1.9
202108,62.5,5.5
202109,53.9,3.7
202110,48.7,9.5
202111,29.7,-0.8
202112,29.5,8.3
202201,13.3,-3.8
202202,19.1,1.8
202203,28.5,2.6
202204,36.2,0.8
202205,48.7,3.3
202206,55.2,1.0
