Pennsylvania, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.58
201502,-1.08
201503,-0.95
201504,-0.80
201505,-1.66
201506,1.91
201507,1.84
201508,-0.54
201509,-0.41
201510,-0.11
201511,-0.75
201512,-0.45
201601,-0.61
201602,0.75
201603,-1.09
201604,-1.44
201605,-1.38
201606,-1.66
201607,-1.85
201608,-1.93
201609,-2.06
201610,-1.69
201611,-2.53
201612,0.21
201701,0.66
201702,0.24
201703,0.51
201704,0.42
201705,1.14
201706,1.24
201707,2.07
201708,2.10
201709,1.30
201710,1.80
201711,1.62
201712,0.86
201801,0.99
201802,2.36
201803,2.07
201804,2.35
201805,2.31
201806,2.63
201807,3.99
201808,4.77
201809,6.63
201810,6.67
201811,7.57
201812,7.39
201901,7.32
201902,7.05
201903,6.14
201904,5.77
201905,5.97
201906,6.20
201907,6.16
201908,5.57
201909,4.34
201910,4.81
201911,4.21
201912,4.13
202001,3.82
202002,3.82
202003,3.51
202004,3.71
202005,-0.18
202006,-0.65
202007,-1.19
202008,-1.15
202009,-1.66
202010,-1.61
202011,-2.03
202012,-1.12
202101,-1.50
202102,-1.09
202103,-1.53
202104,-1.89
202105,-1.60
202106,-1.84
202107,0.95
202108,1.78
202109,3.23
202110,3.51
202111,-0.54
202112,-0.90
202201,-0.94
202202,0.95
202203,0.35
202204,0.66
202205,0.84
202206,-0.30
