Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,22.5,-4.1
201502,16.1,-13.6
201503,31.6,-6.0
201504,48.4,0.4
201505,63.4,3.9
201506,67.1,0.0
201507,70.4,-1.9
201508,68.9,-2.0
201509,66.6,1.9
201510,50.7,-2.5
201511,45.5,4.9
201512,42.3,8.4
201601,25.4,-1.2
201602,30.7,1.0
201603,43.3,5.7
201604,47.0,-1.0
201605,57.4,-2.1
201606,67.4,0.3
201607,73.0,0.7
201608,73.4,2.5
201609,66.2,1.5
201610,53.6,0.4
201611,42.6,2.0
201612,31.2,-2.7
201701,31.8,5.2
201702,36.6,6.9
201703,35.3,-2.3
201704,53.7,5.7
201705,57.1,-2.4
201706,66.8,-0.3
201707,71.4,-0.9
201708,67.4,-3.5
201709,63.8,-0.9
201710,56.2,3.0
201711,39.2,-1.4
201712,28.0,-5.9
201801,23.1,-3.5
201802,34.3,4.6
201803,33.0,-4.6
201804,43.2,-4.8
201805,64.0,4.5
201806,66.6,-0.5
201807,71.6,-0.7
201808,72.1,1.2
201809,66.7,2.0
201810,52.3,-0.9
201811,36.7,-3.9
201812,33.5,-0.4
201901,25.8,-0.8
201902,30.2,0.5
201903,34.7,-2.9
201904,50.5,2.5
201905,60.7,1.2
201906,65.8,-1.3
201907,73.2,0.9
201908,69.6,-1.3
201909,65.1,0.4
201910,53.7,0.5
201911,36.5,-4.1
201912,32.6,-1.3
202001,32.2,5.6
202002,33.3,3.6
202003,42.5,4.9
202004,45.1,-2.9
202005,56.0,-3.5
202006,67.2,0.1
202007,74.9,2.6
202008,71.6,0.7
202009,62.1,-2.6
202010,52.2,-1.0
202011,44.8,4.2
202012,32.1,-1.8
202101,29.4,2.8
202102,26.6,-3.1
202103,40.8,3.2
202104,49.4,1.4
202105,57.0,-2.5
202106,68.7,1.6
202107,71.2,-1.1
202108,72.6,1.7
202109,64.3,-0.4
202110,57.7,4.5
202111,39.1,-1.5
202112,37.6,3.7
202201,22.6,-4.0
202202,29.8,0.1
202203,39.4,1.8
202204,47.0,-1.0
202205,60.6,1.1
202206,67.2,0.1
202207,72.4,0.1
202208,71.5,0.6
202209,63.1,-1.6
202210,49.5,-3.7
