Rhode Island, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,34.1,-1.7
201502,28.4,-8.2
201503,41.3,-3.7
201504,57.5,1.9
201505,73.1,6.5
201506,73.8,-1.1
201507,81.9,2.0
201508,82.4,4.2
201509,78.6,6.8
201510,62.2,0.1
201511,56.4,6.2
201512,53.3,14.0
201601,39.8,4.0
201602,43.0,6.4
201603,52.3,7.3
201604,56.4,0.8
201605,68.2,1.6
201606,77.6,2.7
201607,83.9,4.0
201608,84.1,5.9
201609,75.7,3.9
201610,64.6,2.5
201611,54.8,4.6
201612,42.8,3.5
201701,41.5,5.7
201702,44.8,8.2
201703,42.8,-2.2
201704,61.1,5.5
201705,65.2,-1.4
201706,76.8,1.9
201707,80.0,0.1
201708,79.7,1.5
201709,75.5,3.7
201710,69.2,7.1
201711,52.7,2.5
201712,37.6,-1.7
201801,36.4,0.6
201802,46.4,9.8
201803,44.7,-0.3
201804,53.9,-1.7
201805,72.1,5.5
201806,75.5,0.6
201807,83.5,3.6
201808,83.7,5.5
201809,74.1,2.3
201810,61.4,-0.7
201811,48.4,-1.8
201812,43.5,4.2
201901,37.8,2.0
201902,39.6,3.0
201903,44.9,-0.1
201904,58.4,2.8
201905,65.5,-1.1
201906,75.8,0.9
201907,84.8,4.9
201908,81.0,2.8
201909,74.6,2.8
201910,62.8,0.7
201911,49.4,-0.8
201912,42.2,2.9
202001,43.6,7.8
202002,43.5,6.9
202003,51.8,6.8
202004,52.5,-3.1
202005,67.0,0.4
202006,78.3,3.4
202007,84.3,4.4
202008,83.1,4.9
202009,74.9,3.1
202010,63.6,1.5
202011,58.1,7.9
202012,44.1,4.8
202101,38.8,3.0
202102,38.0,1.4
202103,51.1,6.1
202104,59.0,3.4
202105,68.9,2.3
202106,79.7,4.8
202107,79.2,-0.7
202108,81.7,3.5
202109,75.1,3.3
202110,66.7,4.6
202111,53.2,3.0
202112,46.3,7.0
202201,36.6,0.8
202202,42.8,6.2
202203,50.5,5.5
202204,58.3,2.7
202205,69.6,3.0
202206,76.2,1.3
