Rhode Island, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,16.9,-1.7
201502,7.0,-12.0
201503,22.4,-4.8
201504,36.8,1.0
201505,49.4,3.9
201506,55.2,0.7
201507,62.7,2.0
201508,62.7,3.6
201509,56.7,4.6
201510,42.6,0.9
201511,37.8,5.0
201512,37.3,14.6
201601,22.8,4.2
201602,23.1,4.1
201603,33.6,6.4
201604,36.1,0.3
201605,47.6,2.1
201606,56.2,1.7
201607,63.7,3.0
201608,63.8,4.7
201609,57.1,5.0
201610,44.8,3.1
201611,35.5,2.7
201612,25.7,3.0
201701,27.0,8.4
201702,25.6,6.6
201703,25.4,-1.8
201704,41.8,6.0
201705,47.8,2.3
201706,56.7,2.2
201707,62.1,1.4
201708,59.8,0.7
201709,57.2,5.1
201710,49.9,8.2
201711,33.4,0.6
201712,22.5,-0.2
201801,18.8,0.2
201802,28.9,9.9
201803,29.8,2.6
201804,34.8,-1.0
201805,50.7,5.2
201806,56.2,1.7
201807,64.1,3.4
201808,66.5,7.4
201809,58.9,6.8
201810,43.9,2.2
201811,33.5,0.7
201812,27.0,4.3
201901,20.3,1.7
201902,23.6,4.6
201903,26.8,-0.4
201904,40.0,4.2
201905,47.2,1.7
201906,57.2,2.7
201907,64.9,4.2
201908,61.5,2.4
201909,53.2,1.1
201910,46.6,4.9
201911,30.7,-2.1
201912,26.0,3.3
202001,27.0,8.4
202002,27.3,8.3
202003,33.3,6.1
202004,35.6,-0.2
202005,46.1,0.6
202006,57.9,3.4
202007,66.6,5.9
202008,64.5,5.4
202009,54.1,2.0
202010,45.5,3.8
202011,36.8,4.0
202012,27.2,4.5
202101,23.9,5.3
202102,23.8,4.8
202103,29.2,2.0
202104,38.5,2.7
202105,47.2,1.7
202106,59.4,4.9
202107,63.3,2.6
202108,65.5,6.4
202109,57.8,5.7
202110,50.2,8.5
202111,32.7,-0.1
202112,30.9,8.2
202201,17.3,-1.3
202202,22.0,3.0
202203,30.6,3.4
202204,38.6,2.8
202205,50.4,4.9
202206,56.2,1.7
