Rhode Island, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.05
201502,-0.32
201503,-0.18
201504,-0.74
201505,-1.73
201506,-1.06
201507,-1.04
201508,-1.50
201509,-1.52
201510,-1.32
201511,-1.94
201512,-1.70
201601,-1.74
201602,-0.78
201603,-1.43
201604,-1.30
201605,-1.28
201606,-1.81
201607,-2.10
201608,-2.55
201609,-2.87
201610,0.71
201611,-0.42
201612,-0.53
201701,-0.18
201702,-0.67
201703,-0.69
201704,0.66
201705,1.51
201706,1.46
201707,1.55
201708,-0.58
201709,-0.88
201710,0.98
201711,0.47
201712,0.08
201801,0.71
201802,1.47
201803,1.73
201804,2.10
201805,-0.64
201806,-0.88
201807,-1.29
201808,-1.33
201809,1.02
201810,2.13
201811,3.66
201812,3.46
201901,3.96
201902,3.62
201903,3.02
201904,3.65
201905,3.42
201906,3.54
201907,3.72
201908,3.50
201909,2.58
201910,3.44
201911,2.87
201912,3.59
202001,-0.85
202002,-0.86
202003,-0.89
202004,-0.23
202005,-0.36
202006,-0.57
202007,-1.21
202008,-2.11
202009,-2.94
202010,0.50
202011,0.55
202012,1.69
202101,-0.52
202102,-0.34
202103,-0.89
202104,-1.10
202105,0.44
202106,-0.47
202107,1.43
202108,1.79
202109,2.88
202110,3.41
202111,-0.57
202112,-1.24
202201,-1.25
202202,-0.02
202203,-0.51
202204,-0.70
202205,-1.36
202206,-1.17
