Rhode Island, Precipitation
Units: Inches
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,3.71,-0.19
201502,2.67,-1.37
201503,4.15,0.42
201504,2.50,-2.26
201505,1.03,-2.39
201506,5.34,1.95
201507,3.12,-0.53
201508,2.53,-0.74
201509,4.00,-0.01
201510,4.02,-2.14
201511,2.59,-1.53
201512,5.22,0.44
201601,3.20,-0.70
201602,5.26,1.22
201603,2.66,-1.07
201604,3.99,-0.77
201605,3.45,0.03
201606,1.44,-1.95
201607,2.60,-1.05
201608,2.85,-0.42
201609,2.75,-1.26
201610,6.32,0.16
201611,3.21,-0.91
201612,3.53,-1.25
201701,4.84,0.94
201702,2.32,-1.72
201703,3.72,-0.01
201704,6.56,1.80
201705,6.33,2.91
201706,3.75,0.36
201707,3.60,-0.05
201708,1.89,-1.38
201709,3.16,-0.85
201710,7.41,1.25
201711,2.75,-1.37
201712,2.78,-2.00
201801,5.79,1.89
201802,5.68,1.64
201803,5.50,1.77
201804,5.40,0.64
201805,2.33,-1.09
201806,2.70,-0.69
201807,2.51,-1.14
201808,4.54,1.27
201809,7.91,3.90
201810,6.56,0.40
201811,9.60,5.48
201812,4.66,-0.12
201901,6.42,2.52
201902,3.51,-0.53
201903,3.45,-0.28
201904,7.08,2.32
201905,4.05,0.63
201906,4.80,1.41
201907,4.66,1.01
201908,4.04,0.77
201909,1.63,-2.38
201910,7.05,0.89
201911,3.12,-1.00
201912,7.30,2.52
202001,1.50,-2.40
202002,3.30,-0.74
202003,4.46,0.73
202004,5.40,0.64
202005,3.17,-0.25
202006,2.84,-0.55
202007,1.73,-1.92
202008,1.78,-1.49
202009,1.17,-2.84
202010,5.81,-0.35
202011,5.38,1.26
202012,7.98,3.20
202101,2.29,-1.61
202102,3.64,-0.40
202103,2.80,-0.93
202104,3.49,-1.27
202105,5.12,1.70
202106,2.31,-1.08
202107,7.35,3.70
202108,5.26,1.99
202109,7.47,3.46
202110,5.94,-0.22
202111,2.21,-1.91
202112,1.97,-2.81
202201,3.44,-0.46
202202,5.97,1.93
202203,3.11,-0.62
202204,3.62,-1.14
202205,1.86,-1.56
202206,3.91,0.52
