Rhode Island, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,25.5,-4.7
201502,17.7,-14.1
201503,31.8,-6.4
201504,47.2,-0.3
201505,61.2,2.7
201506,64.5,-2.3
201507,72.3,-1.0
201508,72.6,-0.5
201509,67.6,1.9
201510,52.4,-2.8
201511,47.1,3.3
201512,45.3,9.1
201601,31.3,1.1
201602,33.1,1.3
201603,42.9,4.7
201604,46.2,-1.3
201605,57.9,-0.6
201606,66.9,0.1
201607,73.8,0.5
201608,73.9,0.8
201609,66.4,0.7
201610,54.7,-0.5
201611,45.2,1.4
201612,34.2,-2.0
201701,34.2,4.0
201702,35.2,3.4
201703,34.1,-4.1
201704,51.5,4.0
201705,56.5,-2.0
201706,66.8,0.0
201707,71.1,-2.2
201708,69.8,-3.3
201709,66.4,0.7
201710,59.6,4.4
201711,43.1,-0.7
201712,30.1,-6.1
201801,27.6,-2.6
201802,37.7,5.9
201803,37.3,-0.9
201804,44.4,-3.1
201805,61.4,2.9
201806,65.9,-0.9
201807,73.8,0.5
201808,75.1,2.0
201809,66.5,0.8
201810,52.7,-2.5
201811,41.0,-2.8
201812,35.3,-0.9
201901,29.0,-1.2
201902,31.6,-0.2
201903,35.9,-2.3
201904,49.2,1.7
201905,56.4,-2.1
201906,66.5,-0.3
201907,74.8,1.5
201908,71.3,-1.8
201909,63.9,-1.8
201910,54.7,-0.5
201911,40.1,-3.7
201912,34.1,-2.1
202001,35.3,5.1
202002,35.4,3.6
202003,42.6,4.4
202004,44.1,-3.4
202005,56.6,-1.9
202006,68.1,1.3
202007,75.4,2.1
202008,73.8,0.7
202009,64.5,-1.2
202010,54.6,-0.6
202011,47.5,3.7
202012,35.7,-0.5
202101,31.3,1.1
202102,30.9,-0.9
202103,40.2,2.0
202104,48.8,1.3
202105,58.0,-0.5
202106,69.6,2.8
202107,71.2,-2.1
202108,73.6,0.5
202109,66.4,0.7
202110,58.4,3.2
202111,42.9,-0.9
202112,38.6,2.4
202201,27.0,-3.2
202202,32.4,0.6
202203,40.5,2.3
202204,48.5,1.0
202205,60.0,1.5
202206,66.2,-0.6
202207,74.2,0.9
202208,74.7,1.6
202209,63.6,-2.1
202210,54.3,-0.9
