South Carolina, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,54.7,-0.9
201502,52.3,-6.2
201503,67.9,2.0
201504,75.8,1.2
201505,83.8,1.1
201506,91.8,3.4
201507,93.4,2.8
201508,89.8,0.6
201509,83.7,-0.8
201510,74.0,-1.4
201511,68.0,2.6
201512,68.3,11.5
201601,53.4,-2.2
201602,58.9,0.4
201603,72.8,6.9
201604,75.6,1.0
201605,81.1,-1.6
201606,90.9,2.5
201607,95.0,4.4
201608,91.7,2.5
201609,87.1,2.6
201610,78.8,3.4
201611,69.2,3.8
201612,59.1,2.3
201701,62.0,6.4
201702,68.9,10.4
201703,68.7,2.8
201704,78.6,4.0
201705,83.0,0.3
201706,86.5,-1.9
201707,91.2,0.6
201708,88.7,-0.5
201709,85.2,0.7
201710,77.9,2.5
201711,66.7,1.3
201712,57.9,1.1
201801,52.8,-2.8
201802,67.7,9.2
201803,63.6,-2.3
201804,72.9,-1.7
201805,84.4,1.7
201806,90.9,2.5
201807,90.0,-0.6
201808,89.9,0.7
201809,88.7,4.2
201810,77.7,2.3
201811,61.8,-3.6
201812,58.1,1.3
201901,56.9,1.3
201902,64.4,5.9
201903,66.0,0.1
201904,76.1,1.5
201905,87.3,4.6
201906,87.7,-0.7
201907,92.2,1.6
201908,90.5,1.3
201909,89.9,5.4
201910,79.6,4.2
201911,62.5,-2.9
201912,61.0,4.2
202001,60.4,4.8
202002,60.8,2.3
202003,70.4,4.5
202004,74.8,0.2
202005,79.0,-3.7
202006,85.5,-2.9
202007,91.9,1.3
202008,89.0,-0.2
202009,82.3,-2.2
202010,77.9,2.5
202011,70.4,5.0
202012,57.2,0.4
202101,55.6,0.0
202102,56.8,-1.7
202103,69.1,3.2
202104,75.5,0.9
202105,81.5,-1.2
202106,86.3,-2.1
202107,88.8,-1.8
202108,89.0,-0.2
202109,84.1,-0.4
202110,77.5,2.1
202111,64.8,-0.6
202112,66.0,9.2
202201,54.7,-0.9
202202,64.3,5.8
202203,70.5,4.6
202204,75.4,0.8
202205,84.0,1.3
202206,90.4,2.0
