South Carolina, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,32.8,-0.8
201502,29.8,-5.3
201503,44.9,3.1
201504,53.8,4.6
201505,59.3,1.4
201506,69.1,3.5
201507,71.0,1.9
201508,69.2,1.0
201509,64.9,1.9
201510,52.5,1.5
201511,47.9,7.1
201512,48.6,14.2
201601,32.6,-1.0
201602,37.1,2.0
201603,48.3,6.5
201604,50.5,1.3
201605,59.1,1.2
201606,68.7,3.1
201607,72.5,3.4
201608,72.2,4.0
201609,67.2,4.2
201610,54.1,3.1
201611,42.0,1.2
201612,38.9,4.5
201701,40.7,7.1
201702,42.0,6.9
201703,42.2,0.4
201704,55.4,6.2
201705,59.9,2.0
201706,67.2,1.6
201707,70.9,1.8
201708,70.2,2.0
201709,63.4,0.4
201710,54.6,3.6
201711,42.0,1.2
201712,37.6,3.2
201801,28.4,-5.2
201802,47.0,11.9
201803,40.3,-1.5
201804,47.0,-2.2
201805,63.2,5.3
201806,69.4,3.8
201807,70.4,1.3
201808,70.1,1.9
201809,70.0,7.0
201810,56.2,5.2
201811,42.0,1.2
201812,39.2,4.8
201901,36.6,3.0
201902,41.7,6.6
201903,42.2,0.4
201904,51.9,2.7
201905,63.5,5.6
201906,66.8,1.2
201907,70.6,1.5
201908,70.1,1.9
201909,66.6,3.6
201910,57.3,6.3
201911,39.4,-1.4
201912,39.6,5.2
202001,40.2,6.6
202002,41.0,5.9
202003,50.3,8.5
202004,49.5,0.3
202005,57.0,-0.9
202006,66.7,1.1
202007,71.8,2.7
202008,71.2,3.0
202009,64.4,1.4
202010,56.8,5.8
202011,48.1,7.3
202012,33.9,-0.5
202101,36.0,2.4
202102,37.1,2.0
202103,45.8,4.0
202104,48.1,-1.1
202105,56.3,-1.6
202106,67.0,1.4
202107,69.8,0.7
202108,71.1,2.9
202109,62.6,-0.4
202110,55.8,4.8
202111,38.1,-2.7
202112,42.9,8.5
202201,32.4,-1.2
202202,39.4,4.3
202203,44.9,3.1
202204,49.1,-0.1
202205,61.5,3.6
202206,67.2,1.6
