South Carolina, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,0.69
201502,0.83
201503,-0.47
201504,-0.16
201505,-0.95
201506,-1.41
201507,-2.24
201508,-2.14
201509,-2.09
201510,2.77
201511,4.16
201512,4.65
201601,-0.24
201602,0.27
201603,-0.93
201604,-1.23
201605,-0.37
201606,-0.65
201607,-1.38
201608,-2.09
201609,0.47
201610,1.12
201611,-0.54
201612,-0.34
201701,-0.03
201702,-1.07
201703,-1.66
201704,0.52
201705,0.98
201706,1.00
201707,0.01
201708,-0.18
201709,0.19
201710,0.17
201711,-0.56
201712,-0.64
201801,-0.78
201802,-1.52
201803,-1.71
201804,0.50
201805,1.21
201806,-0.34
201807,-0.22
201808,-0.62
201809,0.26
201810,0.62
201811,1.77
201812,3.25
201901,-0.05
201902,-0.64
201903,-1.17
201904,-0.92
201905,-1.66
201906,-1.18
201907,-1.71
201908,-1.95
201909,-2.76
201910,-2.53
201911,0.20
201912,1.19
202001,1.11
202002,2.03
202003,1.52
202004,2.00
202005,3.06
202006,2.86
202007,2.28
202008,2.46
202009,3.08
202010,2.73
202011,3.05
202012,2.70
202101,2.76
202102,3.32
202103,-0.48
202104,-1.03
202105,-1.29
202106,0.51
202107,0.92
202108,0.94
202109,0.97
202110,-0.13
202111,-0.68
202112,-1.09
202201,-0.79
202202,-1.41
202203,-1.65
202204,-1.26
202205,-1.35
202206,-1.65
