South Carolina, Precipitation
Units: Inches
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,3.56,-0.27
201502,4.06,0.27
201503,3.18,0.12
201504,4.47,0.51
201505,1.63,-2.53
201506,4.12,-0.33
201507,3.47,-1.38
201508,5.71,0.62
201509,4.35,-0.66
201510,12.17,7.17
201511,7.24,3.81
201512,6.70,1.69
201601,2.83,-1.00
201602,4.66,0.87
201603,2.21,-0.85
201604,2.40,-1.56
201605,5.58,1.42
201606,3.61,-0.84
201607,3.78,-1.07
201608,3.84,-1.25
201609,6.83,1.82
201610,5.55,0.55
201611,0.99,-2.44
201612,3.97,-1.04
201701,4.88,1.05
201702,1.38,-2.41
201703,2.34,-0.72
201704,5.51,1.55
201705,5.15,0.99
201706,4.43,-0.02
201707,5.50,0.65
201708,4.55,-0.54
201709,4.83,-0.18
201710,3.25,-1.75
201711,1.19,-2.24
201712,3.56,-1.45
201801,2.82,-1.01
201802,2.23,-1.56
201803,3.11,0.05
201804,4.49,0.53
201805,6.19,2.03
201806,3.72,-0.73
201807,6.03,1.18
201808,4.27,-0.82
201809,6.13,1.12
201810,4.61,-0.39
201811,5.72,2.29
201812,7.98,2.97
201901,3.60,-0.23
201902,2.48,-1.31
201903,2.52,-0.54
201904,3.99,0.03
201905,2.15,-2.01
201906,5.94,1.49
201907,3.91,-0.94
201908,4.83,-0.26
201909,2.19,-2.82
201910,4.01,-0.99
201911,3.48,0.05
201912,6.93,1.92
202001,4.12,0.29
202002,7.17,3.38
202003,4.26,1.20
202004,5.14,1.18
202005,6.64,2.48
202006,4.27,-0.18
202007,4.69,-0.16
202008,6.95,1.86
202009,6.62,1.61
202010,2.69,-2.31
202011,4.49,1.06
202012,2.83,-2.18
202101,4.66,0.83
202102,6.27,2.48
202103,3.26,0.20
202104,1.67,-2.29
202105,2.55,-1.61
202106,6.09,1.64
202107,6.60,1.75
202108,5.47,0.38
202109,4.15,-0.86
202110,2.74,-2.26
202111,0.91,-2.52
202112,3.10,-1.91
202201,4.17,0.34
202202,2.08,-1.71
202203,3.60,0.54
202204,4.01,0.05
202205,3.39,-0.77
202206,3.45,-1.00
