South Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,43.8,-1.9
201502,41.0,-9.6
201503,56.4,-0.4
201504,64.8,1.7
201505,71.6,0.1
201506,80.5,2.2
201507,82.2,0.8
201508,79.5,-0.5
201509,74.3,-1.2
201510,63.3,-2.5
201511,58.0,3.5
201512,58.5,7.9
201601,43.0,-2.7
201602,48.0,-2.6
201603,60.6,3.8
201604,63.1,0.0
201605,70.1,-1.4
201606,79.8,1.5
201607,83.7,2.3
201608,81.9,1.9
201609,77.1,1.6
201610,66.4,0.6
201611,55.6,1.1
201612,49.0,-1.6
201701,51.4,5.7
201702,55.5,4.9
201703,55.5,-1.3
201704,67.0,3.9
201705,71.5,0.0
201706,76.9,-1.4
201707,81.0,-0.4
201708,79.4,-0.6
201709,74.3,-1.2
201710,66.2,0.4
201711,54.3,-0.2
201712,47.8,-2.8
201801,40.6,-5.1
201802,57.4,6.8
201803,52.0,-4.8
201804,60.0,-3.1
201805,73.8,2.3
201806,80.2,1.9
201807,80.2,-1.2
201808,80.0,0.0
201809,79.4,3.9
201810,66.9,1.1
201811,51.9,-2.6
201812,48.6,-2.0
201901,46.7,1.0
201902,53.0,2.4
201903,54.1,-2.7
201904,64.0,0.9
201905,75.4,3.9
201906,77.2,-1.1
201907,81.4,0.0
201908,80.3,0.3
201909,78.3,2.8
201910,68.5,2.7
201911,51.0,-3.5
201912,50.3,-0.3
202001,50.3,4.6
202002,50.9,0.3
202003,60.4,3.6
202004,62.1,-1.0
202005,68.0,-3.5
202006,76.1,-2.2
202007,81.9,0.5
202008,80.1,0.1
202009,73.3,-2.2
202010,67.4,1.6
202011,59.3,4.8
202012,45.6,-5.0
202101,45.8,0.1
202102,47.0,-3.6
202103,57.4,0.6
202104,61.8,-1.3
202105,68.9,-2.6
202106,76.7,-1.6
202107,79.3,-2.1
202108,80.0,0.0
202109,73.4,-2.1
202110,66.7,0.9
202111,51.4,-3.1
202112,54.4,3.8
202201,43.6,-2.1
202202,51.8,1.2
202203,57.7,0.9
202204,62.2,-0.9
202205,72.8,1.3
202206,78.8,0.5
202207,81.2,-0.2
202208,79.1,-0.9
202209,73.7,-1.8
202210,61.0,-4.8
