South Dakota, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,33.2,7.3
201502,32.0,1.1
201503,54.1,12.1
201504,62.1,4.6
201505,65.4,-3.7
201506,79.4,1.0
201507,85.1,-1.3
201508,82.9,-1.6
201509,79.6,5.2
201510,64.0,2.6
201511,47.8,5.0
201512,32.5,2.4
201601,28.6,2.7
201602,41.0,10.1
201603,53.4,11.4
201604,58.7,1.2
201605,70.3,1.2
201606,84.9,6.5
201607,86.6,0.2
201608,84.5,0.0
201609,75.2,0.8
201610,64.6,3.2
201611,54.1,11.3
201612,24.6,-5.5
201701,24.7,-1.2
201702,39.9,9.0
201703,46.8,4.8
201704,58.9,1.4
201705,69.3,0.2
201706,82.6,4.2
201707,91.0,4.6
201708,80.3,-4.2
201709,75.2,0.8
201710,61.5,0.1
201711,46.8,4.0
201712,31.7,1.6
201801,29.1,3.2
201802,23.3,-7.6
201803,39.5,-2.5
201804,48.6,-8.9
201805,75.1,6.0
201806,81.1,2.7
201807,84.6,-1.8
201808,83.5,-1.0
201809,73.3,-1.1
201810,54.6,-6.8
201811,39.0,-3.8
201812,34.9,4.8
201901,27.4,1.5
201902,15.0,-15.9
201903,34.5,-7.5
201904,55.6,-1.9
201905,60.8,-8.3
201906,78.8,0.4
201907,83.6,-2.8
201908,79.2,-5.3
201909,75.0,0.6
201910,50.9,-10.5
201911,41.4,-1.4
201912,31.9,1.8
202001,28.9,3.0
202002,34.1,3.2
202003,47.4,5.4
202004,56.0,-1.5
202005,65.8,-3.3
202006,83.2,4.8
202007,86.6,0.2
202008,86.7,2.2
202009,74.8,0.4
202010,53.2,-8.2
202011,52.4,9.6
202012,39.8,9.7
202101,34.9,9.0
202102,23.4,-7.5
202103,52.4,10.4
202104,57.2,-0.3
202105,68.0,-1.1
202106,87.5,9.1
202107,88.8,2.4
202108,86.8,2.3
202109,79.6,5.2
202110,63.2,1.8
202111,50.6,7.8
202112,35.3,5.2
202201,32.0,6.1
202202,33.7,2.8
202203,46.2,4.2
202204,51.9,-5.6
202205,67.9,-1.2
202206,80.8,2.4
