South Dakota, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,12.2,8.0
201502,7.0,-1.8
201503,23.9,4.3
201504,33.3,1.4
201505,42.3,-0.7
201506,55.8,2.8
201507,59.0,0.2
201508,56.8,0.3
201509,52.2,6.2
201510,39.1,4.9
201511,25.0,4.4
201512,16.1,6.9
201601,11.0,6.8
201602,21.4,12.6
201603,26.8,7.2
201604,33.9,2.0
201605,43.1,0.1
201606,56.4,3.4
201607,59.4,0.6
201608,57.4,0.9
201609,49.6,3.6
201610,38.7,4.5
201611,29.8,9.2
201612,6.2,-3.0
201701,8.4,4.2
201702,18.9,10.1
201703,24.2,4.6
201704,33.2,1.3
201705,42.6,-0.4
201706,53.6,0.6
201707,61.0,2.2
201708,54.6,-1.9
201709,48.4,2.4
201710,34.5,0.3
201711,22.6,2.0
201712,11.7,2.5
201801,7.0,2.8
201802,-0.1,-8.9
201803,21.3,1.7
201804,24.7,-7.2
201805,49.0,6.0
201806,57.4,4.4
201807,59.8,1.0
201808,56.4,-0.1
201809,49.6,3.6
201810,31.8,-2.4
201811,19.6,-1.0
201812,15.6,6.4
201901,8.5,4.3
201902,-2.8,-11.6
201903,15.7,-3.9
201904,32.9,1.0
201905,40.0,-3.0
201906,53.8,0.8
201907,60.7,1.9
201908,57.1,0.6
201909,51.2,5.2
201910,29.6,-4.6
201911,20.8,0.2
201912,14.7,5.5
202001,11.2,7.0
202002,13.0,4.2
202003,25.4,5.8
202004,28.1,-3.8
202005,42.6,-0.4
202006,57.4,4.4
202007,60.4,1.6
202008,58.4,1.9
202009,46.0,0.0
202010,29.3,-4.9
202011,24.7,4.1
202012,16.7,7.5
202101,18.2,14.0
202102,2.3,-6.5
202103,26.5,6.9
202104,30.1,-1.8
202105,42.1,-0.9
202106,57.2,4.2
202107,62.0,3.2
202108,58.2,1.7
202109,50.4,4.4
202110,39.2,5.0
202111,26.0,5.4
202112,13.8,4.6
202201,6.2,2.0
202202,6.2,-2.6
202203,20.4,0.8
202204,27.3,-4.6
202205,42.9,-0.1
202206,54.5,1.5
