South Dakota, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,4.23
201502,3.75
201503,2.43
201504,1.25
201505,2.89
201506,3.08
201507,3.67
201508,4.71
201509,4.13
201510,3.83
201511,3.68
201512,4.09
201601,3.62
201602,3.45
201603,2.77
201604,3.68
201605,3.42
201606,2.18
201607,2.20
201608,2.38
201609,2.39
201610,2.04
201611,1.57
201612,2.23
201701,2.29
201702,-0.09
201703,-0.53
201704,-0.58
201705,-0.89
201706,-1.70
201707,-2.19
201708,0.69
201709,1.17
201710,1.09
201711,-0.47
201712,-0.54
201801,-0.71
201802,0.31
201803,0.57
201804,0.82
201805,0.38
201806,0.89
201807,1.56
201808,1.52
201809,2.11
201810,2.58
201811,2.54
201812,2.94
201901,2.85
201902,3.25
201903,3.85
201904,4.40
201905,6.51
201906,5.76
201907,7.71
201908,9.16
201909,10.44
201910,10.75
201911,10.42
201912,10.40
202001,9.77
202002,9.19
202003,8.53
202004,7.71
202005,7.35
202006,6.53
202007,6.98
202008,6.58
202009,-0.46
202010,-0.10
202011,-0.50
202012,-0.56
202101,-0.64
202102,-0.75
202103,-1.11
202104,-1.32
202105,-1.48
202106,-3.15
202107,-3.54
202108,-3.35
202109,-0.01
202110,1.50
202111,-0.48
202112,-0.24
202201,-0.44
202202,-0.65
202203,-1.19
202204,0.66
202205,1.11
202206,-0.55
