South Dakota, Precipitation
Units: Inches
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,0.27,-0.10
201502,0.34,-0.20
201503,0.24,-0.71
201504,0.87,-1.13
201505,5.72,2.30
201506,4.05,1.30
201507,3.02,-0.20
201508,3.36,0.61
201509,1.33,-0.82
201510,1.44,-0.31
201511,1.02,0.39
201512,1.12,0.30
201601,0.27,-0.10
201602,0.58,0.04
201603,1.04,0.09
201604,3.76,1.76
201605,2.54,-0.88
201606,1.78,-0.97
201607,2.74,-0.48
201608,2.61,-0.14
201609,1.97,-0.18
201610,1.23,-0.52
201611,0.91,0.28
201612,1.25,0.43
201701,0.68,0.31
201702,0.37,-0.17
201703,0.66,-0.29
201704,1.94,-0.06
201705,2.12,-1.30
201706,2.19,-0.56
201707,2.12,-1.10
201708,3.17,0.42
201709,2.49,0.34
201710,1.24,-0.51
201711,0.23,-0.40
201712,0.42,-0.40
201801,0.30,-0.07
201802,0.94,0.40
201803,1.53,0.58
201804,1.70,-0.30
201805,2.71,-0.71
201806,4.78,2.03
201807,3.40,0.18
201808,1.94,-0.81
201809,2.55,0.40
201810,1.70,-0.05
201811,0.73,0.10
201812,0.97,0.15
201901,0.49,0.12
201902,1.01,0.47
201903,1.69,0.74
201904,2.64,0.64
201905,5.90,2.48
201906,2.63,-0.12
201907,5.45,2.23
201908,3.65,0.90
201909,3.90,1.75
201910,2.13,0.38
201911,0.94,0.31
201912,0.97,0.15
202001,0.41,0.04
202002,0.42,-0.12
202003,0.78,-0.17
202004,0.94,-1.06
202005,2.71,-0.71
202006,3.04,0.29
202007,3.34,0.12
202008,1.97,-0.78
202009,0.74,-1.41
202010,1.11,-0.64
202011,0.36,-0.27
202012,0.35,-0.47
202101,0.32,-0.05
202102,0.37,-0.17
202103,1.22,0.27
202104,1.48,-0.52
202105,2.25,-1.17
202106,1.19,-1.56
202107,2.47,-0.75
202108,2.55,-0.20
202109,2.04,-0.11
202110,3.42,1.67
202111,0.24,-0.39
202112,0.63,-0.19
202201,0.21,-0.16
202202,0.28,-0.26
202203,0.44,-0.51
202204,2.64,0.64
202205,3.42,0.00
202206,2.34,-0.41
