South Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,22.7,2.6
201502,19.5,0.2
201503,39.0,4.1
201504,47.7,4.4
201505,53.8,-1.7
201506,67.6,-1.4
201507,72.1,-1.5
201508,69.8,-0.8
201509,65.9,2.7
201510,51.6,4.5
201511,36.4,0.6
201512,24.3,1.0
201601,19.8,-0.3
201602,31.2,11.9
201603,40.1,5.2
201604,46.3,3.0
201605,56.7,1.2
201606,70.7,1.7
201607,73.0,-0.6
201608,71.0,0.4
201609,62.4,-0.8
201610,51.6,4.5
201611,42.0,6.2
201612,15.4,-7.9
201701,16.5,-3.6
201702,29.4,10.1
201703,35.5,0.6
201704,46.1,2.8
201705,56.0,0.5
201706,68.1,-0.9
201707,76.0,2.4
201708,67.4,-3.2
201709,61.8,-1.4
201710,48.0,0.9
201711,34.7,-1.1
201712,21.7,-1.6
201801,18.1,-2.0
201802,11.6,-7.7
201803,30.4,-4.5
201804,36.7,-6.6
201805,62.1,6.6
201806,69.3,0.3
201807,72.2,-1.4
201808,69.9,-0.7
201809,61.5,-1.7
201810,43.2,-3.9
201811,29.3,-6.5
201812,25.3,2.0
201901,18.0,-2.1
201902,6.1,-13.2
201903,25.1,-9.8
201904,44.2,0.9
201905,50.4,-5.1
201906,66.3,-2.7
201907,72.1,-1.5
201908,68.2,-2.4
201909,63.1,-0.1
201910,40.2,-6.9
201911,31.1,-4.7
201912,23.3,0.0
202001,20.1,0.0
202002,23.5,4.2
202003,36.4,1.5
202004,42.0,-1.3
202005,54.2,-1.3
202006,70.3,1.3
202007,73.5,-0.1
202008,72.6,2.0
202009,60.4,-2.8
202010,41.2,-5.9
202011,38.6,2.8
202012,28.3,5.0
202101,26.5,6.4
202102,12.9,-6.4
202103,39.4,4.5
202104,43.6,0.3
202105,55.0,-0.5
202106,72.3,3.3
202107,75.4,1.8
202108,72.5,1.9
202109,65.0,1.8
202110,51.2,4.1
202111,38.3,2.5
202112,24.5,1.2
202201,19.1,-1.0
202202,19.9,0.6
202203,33.3,-1.6
202204,39.6,-3.7
202205,55.4,-0.1
202206,67.7,-1.3
202207,74.6,1.0
202208,73.2,2.6
202209,65.5,2.3
202210,49.5,2.4
