Tennessee, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,45.8,-1.3
201502,41.4,-9.3
201503,60.2,0.3
201504,71.8,1.8
201505,79.8,1.5
201506,86.4,0.8
201507,87.6,-1.0
201508,85.0,-2.6
201509,82.5,0.1
201510,71.3,-0.6
201511,63.6,4.6
201512,60.9,11.8
201601,44.7,-2.4
201602,51.3,0.6
201603,65.7,5.8
201604,72.4,2.4
201605,76.4,-1.9
201606,88.1,2.5
201607,90.2,1.6
201608,88.7,1.1
201609,86.9,4.5
201610,78.5,6.6
201611,66.5,7.5
201612,50.5,1.4
201701,52.9,5.8
201702,60.3,9.6
201703,62.9,3.0
201704,75.0,5.0
201705,77.9,-0.4
201706,83.7,-1.9
201707,88.3,-0.3
201708,84.8,-2.8
201709,80.3,-2.1
201710,73.4,1.5
201711,61.4,2.4
201712,49.1,0.0
201801,43.0,-4.1
201802,58.1,7.4
201803,58.2,-1.7
201804,64.9,-5.1
201805,83.6,5.3
201806,87.1,1.5
201807,88.3,-0.3
201808,86.5,-1.1
201809,84.2,1.8
201810,71.8,-0.1
201811,53.8,-5.2
201812,50.8,1.7
201901,47.8,0.7
201902,56.1,5.4
201903,58.2,-1.7
201904,71.7,1.7
201905,81.2,2.9
201906,83.6,-2.0
201907,87.7,-0.9
201908,87.7,0.1
201909,89.8,7.4
201910,73.8,1.9
201911,56.0,-3.0
201912,55.1,6.0
202001,51.6,4.5
202002,52.3,1.6
202003,64.2,4.3
202004,67.4,-2.6
202005,74.7,-3.6
202006,84.3,-1.3
202007,89.5,0.9
202008,86.0,-1.6
202009,79.6,-2.8
202010,71.6,-0.3
202011,64.9,5.9
202012,50.0,0.9
202101,48.1,1.0
202102,46.3,-4.4
202103,65.2,5.3
202104,69.0,-1.0
202105,75.6,-2.7
202106,84.3,-1.3
202107,86.7,-1.9
202108,87.0,-0.6
202109,80.4,-2.0
202110,73.4,1.5
202111,58.1,-0.9
202112,61.3,12.2
202201,45.7,-1.4
202202,53.5,2.8
202203,64.2,4.3
202204,69.0,-1.0
202205,79.9,1.6
202206,87.8,2.2
