Tennessee, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,26.3,-1.0
201502,21.3,-8.2
201503,37.7,0.8
201504,48.3,3.1
201505,56.2,2.3
201506,65.4,3.4
201507,68.9,3.2
201508,63.4,-1.0
201509,59.3,1.4
201510,48.1,2.5
201511,43.4,7.6
201512,41.7,12.3
201601,24.9,-2.4
201602,33.6,4.1
201603,42.1,5.2
201604,46.7,1.5
201605,54.1,0.2
201606,64.8,2.8
201607,69.3,3.6
201608,69.3,4.9
201609,61.4,3.5
201610,50.7,5.1
201611,39.0,3.2
201612,31.3,1.9
201701,36.9,9.6
201702,37.4,7.9
201703,39.3,2.4
201704,51.2,6.0
201705,55.4,1.5
201706,62.3,0.3
201707,67.9,2.2
201708,64.5,0.1
201709,57.8,-0.1
201710,48.2,2.6
201711,38.4,2.6
201712,30.0,0.6
201801,22.9,-4.4
201802,38.9,9.4
201803,38.2,1.3
201804,40.8,-4.4
201805,61.0,7.1
201806,65.9,3.9
201807,67.9,2.2
201808,66.5,2.1
201809,65.6,7.7
201810,50.2,4.6
201811,35.0,-0.8
201812,34.5,5.1
201901,30.9,3.6
201902,37.4,7.9
201903,35.6,-1.3
201904,46.9,1.7
201905,59.0,5.1
201906,63.2,1.2
201907,67.8,2.1
201908,66.2,1.8
201909,63.1,5.2
201910,49.6,4.0
201911,32.4,-3.4
201912,35.3,5.9
202001,34.4,7.1
202002,34.4,4.9
202003,45.3,8.4
202004,43.3,-1.9
202005,53.2,-0.7
202006,62.7,0.7
202007,69.0,3.3
202008,66.7,2.3
202009,60.1,2.2
202010,49.2,3.6
202011,39.0,3.2
202012,29.0,-0.4
202101,31.2,3.9
202102,28.4,-1.1
202103,42.0,5.1
202104,43.3,-1.9
202105,52.5,-1.4
202106,63.7,1.7
202107,67.4,1.7
202108,67.4,3.0
202109,58.9,1.0
202110,53.3,7.7
202111,33.1,-2.7
202112,39.6,10.2
202201,25.3,-2.0
202202,30.2,0.7
202203,39.0,2.1
202204,44.5,-0.7
202205,57.9,4.0
202206,63.6,1.6
