Tennessee, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,1.76
201502,1.63
201503,1.43
201504,1.75
201505,1.24
201506,1.33
201507,1.98
201508,2.40
201509,2.03
201510,2.23
201511,2.68
201512,3.09
201601,-0.56
201602,-0.21
201603,-0.47
201604,-0.95
201605,-1.00
201606,-0.99
201607,-0.86
201608,-0.36
201609,-1.08
201610,-2.13
201611,-2.67
201612,-2.03
201701,-2.13
201702,-2.84
201703,0.02
201704,0.56
201705,1.00
201706,1.13
201707,1.42
201708,2.01
201709,2.31
201710,2.90
201711,2.31
201712,2.06
201801,1.24
201802,2.84
201803,2.63
201804,3.17
201805,2.73
201806,3.01
201807,2.41
201808,2.44
201809,3.40
201810,3.42
201811,3.78
201812,4.11
201901,3.90
201902,5.70
201903,4.78
201904,4.75
201905,3.83
201906,4.40
201907,4.69
201908,4.54
201909,2.92
201910,3.94
201911,4.00
201912,3.92
202001,3.93
202002,4.88
202003,5.03
202004,5.43
202005,5.03
202006,4.54
202007,4.15
202008,4.64
202009,4.62
202010,4.96
202011,3.85
202012,3.45
202101,2.62
202102,2.51
202103,3.59
202104,2.71
202105,2.50
202106,2.48
202107,2.57
202108,3.79
202109,4.18
202110,4.69
202111,3.68
202112,3.06
202201,3.08
202202,3.96
202203,3.15
202204,3.00
202205,2.58
202206,1.74
