Tennessee, Precipitation
Units: Inches
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,2.81,-1.47
201502,4.56,-2.73
201503,5.41,-0.73
201504,5.96,0.75
201505,3.68,-0.75
201506,4.76,0.22
201507,6.48,1.31
201508,4.53,-0.58
201509,2.73,-0.96
201510,3.96,-0.43
201511,6.38,2.65
201512,7.90,1.87
201601,2.76,-1.52
201602,5.79,-1.50
201603,5.16,-0.98
201604,3.20,-2.01
201605,3.80,-0.63
201606,3.99,-0.55
201607,4.86,-0.31
201608,5.03,-0.08
201609,1.80,-1.89
201610,0.73,-3.66
201611,3.05,-0.68
201612,6.87,0.84
201701,4.24,-0.04
201702,2.38,-4.91
201703,5.77,-0.37
201704,6.61,1.40
201705,5.95,1.52
201706,4.37,-0.17
201707,5.36,0.19
201708,4.90,-0.21
201709,4.31,0.62
201710,4.92,0.53
201711,2.78,-0.95
201712,4.63,-1.40
201801,2.55,-1.73
201802,10.73,3.44
201803,5.67,-0.47
201804,5.97,0.76
201805,4.99,0.56
201806,5.74,1.20
201807,3.52,-1.65
201808,4.26,-0.85
201809,7.29,3.60
201810,3.57,-0.82
201811,5.51,1.78
201812,7.34,1.31
201901,5.78,1.50
201902,12.07,4.78
201903,4.26,-1.88
201904,5.84,0.63
201905,3.71,-0.72
201906,6.46,1.92
201907,6.13,0.96
201908,3.97,-1.14
201909,0.50,-3.19
201910,7.28,2.89
201911,4.74,1.01
201912,6.17,0.14
202001,6.73,2.45
202002,9.18,1.89
202003,8.15,2.01
202004,6.56,1.35
202005,4.56,0.13
202006,3.88,-0.66
202007,4.76,-0.41
202008,5.93,0.82
202009,4.37,0.68
202010,4.97,0.58
202011,1.98,-1.75
202012,4.66,-1.37
202101,3.32,-0.96
202102,5.05,-2.24
202103,10.15,4.01
202104,2.82,-2.39
202105,4.27,-0.16
202106,4.52,-0.02
202107,5.06,-0.11
202108,7.13,2.02
202109,4.86,1.17
202110,5.30,0.91
202111,1.68,-2.05
202112,4.62,-1.41
202201,6.06,1.78
202202,8.57,1.28
202203,4.52,-1.62
202204,4.72,-0.49
202205,4.47,0.04
202206,2.58,-1.96
