Tennessee, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,36.1,-2.2
201502,31.4,-11.2
201503,49.0,-2.1
201504,60.1,2.2
201505,68.0,0.6
201506,75.9,1.1
201507,78.3,-0.3
201508,74.2,-2.2
201509,70.9,-0.9
201510,59.7,-1.3
201511,53.5,4.6
201512,51.3,7.1
201601,34.8,-3.5
201602,42.5,-0.1
201603,53.9,2.8
201604,59.5,1.6
201605,65.3,-2.1
201606,76.5,1.7
201607,79.8,1.2
201608,79.0,2.6
201609,74.1,2.3
201610,64.6,3.6
201611,52.7,3.8
201612,40.9,-3.3
201701,44.9,6.6
201702,48.9,6.3
201703,51.1,0.0
201704,63.1,5.2
201705,66.6,-0.8
201706,73.0,-1.8
201707,78.1,-0.5
201708,74.6,-1.8
201709,69.1,-2.7
201710,60.8,-0.2
201711,49.9,1.0
201712,39.5,-4.7
201801,32.9,-5.4
201802,48.5,5.9
201803,48.2,-2.9
201804,52.9,-5.0
201805,72.3,4.9
201806,76.5,1.7
201807,78.1,-0.5
201808,76.5,0.1
201809,74.9,3.1
201810,61.0,0.0
201811,44.4,-4.5
201812,42.7,-1.5
201901,39.4,1.1
201902,46.7,4.1
201903,46.9,-4.2
201904,59.3,1.4
201905,70.1,2.7
201906,73.4,-1.4
201907,77.8,-0.8
201908,76.9,0.5
201909,76.4,4.6
201910,61.7,0.7
201911,44.2,-4.7
201912,45.2,1.0
202001,43.0,4.7
202002,43.3,0.7
202003,54.7,3.6
202004,55.4,-2.5
202005,64.0,-3.4
202006,73.5,-1.3
202007,79.2,0.6
202008,76.4,0.0
202009,69.9,-1.9
202010,60.4,-0.6
202011,51.9,3.0
202012,39.5,-4.7
202101,39.7,1.4
202102,37.4,-5.2
202103,53.6,2.5
202104,56.2,-1.7
202105,64.1,-3.3
202106,74.0,-0.8
202107,77.0,-1.6
202108,77.2,0.8
202109,69.6,-2.2
202110,63.4,2.4
202111,45.6,-3.3
202112,50.5,6.3
202201,35.5,-2.8
202202,41.8,-0.8
202203,51.6,0.5
202204,56.7,-1.2
202205,68.9,1.5
202206,75.7,0.9
202207,80.1,1.5
202208,76.3,-0.1
202209,69.4,-2.4
202210,56.3,-4.7
