Texas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,54.6,-3.1
201502,60.4,-1.8
201503,67.4,-2.0
201504,78.1,0.3
201505,81.9,-2.8
201506,89.9,-1.7
201507,94.5,0.1
201508,96.1,1.9
201509,91.6,3.6
201510,81.6,2.7
201511,68.3,1.1
201512,64.1,5.1
201601,58.8,1.1
201602,69.0,6.8
201603,74.3,4.9
201604,78.6,0.8
201605,82.8,-1.9
201606,91.2,-0.4
201607,97.4,3.0
201608,92.2,-2.0
201609,88.4,0.4
201610,84.0,5.1
201611,72.5,5.3
201612,60.2,1.2
201701,63.0,5.3
201702,72.0,9.8
201703,76.4,7.0
201704,80.1,2.3
201705,85.0,0.3
201706,92.3,0.7
201707,95.5,1.1
201708,91.2,-3.0
201709,88.4,0.4
201710,80.0,1.1
201711,73.2,6.0
201712,59.7,0.7
201801,57.8,0.1
201802,64.7,2.5
201803,74.9,5.5
201804,77.8,0.0
201805,90.9,6.2
201806,95.8,4.2
201807,96.8,2.4
201808,95.0,0.8
201809,85.7,-2.3
201810,74.6,-4.3
201811,63.9,-3.3
201812,59.2,0.2
201901,58.9,1.2
201902,63.2,1.0
201903,67.2,-2.2
201904,78.2,0.4
201905,82.9,-1.8
201906,90.8,-0.8
201907,94.8,0.4
201908,98.3,4.1
201909,93.1,5.1
201910,78.3,-0.6
201911,65.9,-1.3
201912,64.4,5.4
202001,62.8,5.1
202002,61.5,-0.7
202003,73.9,4.5
202004,78.2,0.4
202005,87.7,3.0
202006,92.9,1.3
202007,97.0,2.6
202008,97.5,3.3
202009,85.6,-2.4
202010,79.9,1.0
202011,74.2,7.0
202012,62.6,3.6
202101,59.0,1.3
202102,55.8,-6.4
202103,72.8,3.4
202104,76.1,-1.7
202105,82.4,-2.3
202106,91.2,-0.4
202107,91.2,-3.2
202108,92.8,-1.4
202109,91.5,3.5
202110,83.1,4.2
202111,70.8,3.6
202112,72.1,13.1
202201,60.1,2.4
202202,60.1,-2.1
202203,72.4,3.0
202204,82.5,4.7
202205,91.2,6.5
202206,96.3,4.7
