Texas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,33.3,0.2
201502,36.1,-0.6
201503,45.0,1.7
201504,55.0,3.2
201505,61.3,1.1
201506,68.6,1.1
201507,71.9,1.6
201508,70.5,1.0
201509,66.9,3.2
201510,56.8,3.5
201511,46.3,4.3
201512,38.8,4.0
201601,34.0,0.9
201602,39.7,3.0
201603,48.2,4.9
201604,53.5,1.7
201605,60.4,0.2
201606,68.9,1.4
201607,73.4,3.1
201608,70.9,1.4
201609,66.7,3.0
201610,57.7,4.4
201611,49.6,7.6
201612,38.9,4.1
201701,38.6,5.5
201702,44.8,8.1
201703,50.7,7.4
201704,54.2,2.4
201705,59.0,-1.2
201706,68.8,1.3
201707,71.6,1.3
201708,70.1,0.6
201709,64.6,0.9
201710,53.1,-0.2
201711,47.4,5.4
201712,35.9,1.1
201801,29.9,-3.2
201802,40.0,3.3
201803,48.4,5.1
201804,48.2,-3.6
201805,65.1,4.9
201806,71.9,4.4
201807,72.0,1.7
201808,71.1,1.6
201809,66.8,3.1
201810,56.1,2.8
201811,40.0,-2.0
201812,37.4,2.6
201901,35.5,2.4
201902,40.5,3.8
201903,44.2,0.9
201904,51.8,0.0
201905,62.1,1.9
201906,67.4,-0.1
201907,70.8,0.5
201908,73.4,3.9
201909,69.9,6.2
201910,52.1,-1.2
201911,40.5,-1.5
201912,37.0,2.2
202001,38.7,5.6
202002,37.3,0.6
202003,52.6,9.3
202004,52.0,0.2
202005,61.4,1.2
202006,68.4,0.9
202007,73.4,3.1
202008,71.4,1.9
202009,62.6,-1.1
202010,51.8,-1.5
202011,47.0,5.0
202012,34.3,-0.5
202101,35.7,2.6
202102,32.0,-4.7
202103,46.1,2.8
202104,51.2,-0.6
202105,61.3,1.1
202106,69.3,1.8
202107,70.6,0.3
202108,71.0,1.5
202109,64.9,1.2
202110,56.4,3.1
202111,43.9,1.9
202112,45.9,11.1
202201,31.3,-1.8
202202,31.5,-5.2
202203,41.4,-1.9
202204,55.0,3.2
202205,64.7,4.5
202206,71.2,3.7
