Texas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,2.67,1.18
201502,1.09,-0.51
201503,3.47,1.81
201504,3.96,1.60
201505,9.05,5.68
201506,3.72,0.86
201507,1.85,-0.48
201508,1.43,-0.88
201509,1.43,-1.50
201510,6.17,3.64
201511,3.87,2.01
201512,2.52,0.74
201601,0.95,-0.54
201602,1.06,-0.54
201603,2.85,1.19
201604,4.30,1.94
201605,4.86,1.49
201606,3.37,0.51
201607,1.31,-1.02
201608,5.33,3.02
201609,2.96,0.03
201610,0.67,-1.86
201611,2.34,0.48
201612,2.10,0.32
201701,2.28,0.79
201702,1.71,0.11
201703,1.88,0.22
201704,2.75,0.39
201705,2.54,-0.83
201706,3.11,0.25
201707,2.46,0.13
201708,7.00,4.69
201709,2.61,-0.32
201710,1.25,-1.28
201711,0.73,-1.13
201712,1.96,0.18
201801,0.64,-0.85
201802,2.43,0.83
201803,1.96,0.30
201804,1.05,-1.31
201805,2.08,-1.29
201806,2.49,-0.37
201807,2.15,-0.18
201808,2.17,-0.14
201809,6.71,3.78
201810,6.92,4.39
201811,1.78,-0.08
201812,3.34,1.56
201901,1.50,0.01
201902,0.92,-0.68
201903,1.21,-0.45
201904,3.58,1.22
201905,5.23,1.86
201906,4.27,1.41
201907,1.29,-1.04
201908,1.42,-0.89
201909,2.43,-0.50
201910,2.71,0.18
201911,1.42,-0.44
201912,0.88,-0.90
202001,1.96,0.47
202002,1.90,0.30
202003,3.17,1.51
202004,1.86,-0.50
202005,3.54,0.17
202006,2.15,-0.71
202007,2.28,-0.05
202008,1.32,-0.99
202009,4.21,1.28
202010,1.01,-1.52
202011,0.95,-0.91
202012,1.82,0.04
202101,1.69,0.20
202102,0.98,-0.62
202103,1.31,-0.35
202104,2.15,-0.21
202105,6.22,2.85
202106,4.06,1.20
202107,3.98,1.65
202108,2.77,0.46
202109,1.40,-1.53
202110,2.44,-0.09
202111,1.15,-0.71
202112,0.63,-1.15
202201,0.69,-0.80
202202,1.07,-0.53
202203,1.24,-0.42
202204,1.30,-1.06
202205,2.31,-1.06
202206,1.41,-1.45
