Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,44.0,-3.0
201502,48.2,-2.4
201503,56.2,-3.5
201504,66.6,0.9
201505,71.6,-2.2
201506,79.3,-1.7
201507,83.2,-0.9
201508,83.3,0.3
201509,79.2,1.6
201510,69.2,1.8
201511,57.3,-0.1
201512,51.5,0.7
201601,46.4,-0.6
201602,54.4,3.8
201603,61.2,1.5
201604,66.1,0.4
201605,71.6,-2.2
201606,80.1,-0.9
201607,85.4,1.3
201608,81.5,-1.5
201609,77.6,0.0
201610,70.9,3.5
201611,61.0,3.6
201612,49.6,-1.2
201701,50.8,3.8
201702,58.4,7.8
201703,63.6,3.9
201704,67.1,1.4
201705,72.0,-1.8
201706,80.6,-0.4
201707,83.6,-0.5
201708,80.6,-2.4
201709,76.5,-1.1
201710,66.5,-0.9
201711,60.3,2.9
201712,47.8,-3.0
201801,43.8,-3.2
201802,52.3,1.7
201803,61.7,2.0
201804,63.0,-2.7
201805,78.0,4.2
201806,83.9,2.9
201807,84.5,0.4
201808,83.0,0.0
201809,76.2,-1.4
201810,65.4,-2.0
201811,51.9,-5.5
201812,48.3,-2.5
201901,47.2,0.2
201902,51.9,1.3
201903,55.7,-4.0
201904,65.0,-0.7
201905,72.5,-1.3
201906,79.1,-1.9
201907,82.8,-1.3
201908,85.9,2.9
201909,81.5,3.9
201910,65.2,-2.2
201911,53.2,-4.2
201912,50.7,-0.1
202001,50.7,3.7
202002,49.4,-1.2
202003,63.2,3.5
202004,65.1,-0.6
202005,74.6,0.8
202006,80.7,-0.3
202007,85.2,1.1
202008,84.4,1.4
202009,74.1,-3.5
202010,65.9,-1.5
202011,60.6,3.2
202012,48.5,-2.3
202101,47.3,0.3
202102,44.0,-6.6
202103,59.4,-0.3
202104,63.7,-2.0
202105,71.9,-1.9
202106,80.2,-0.8
202107,80.9,-3.2
202108,81.9,-1.1
202109,78.2,0.6
202110,69.8,2.4
202111,57.3,-0.1
202112,59.0,8.2
202201,45.7,-1.3
202202,45.8,-4.8
202203,56.9,-2.8
202204,68.7,3.0
202205,78.0,4.2
202206,83.7,2.7
202207,87.2,3.1
202208,83.4,0.4
202209,77.8,0.2
202210,66.4,-1.0
