Utah, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,42.0,6.3
201502,50.8,9.6
201503,58.3,9.6
201504,60.6,2.3
201505,65.4,-2.8
201506,85.0,6.2
201507,83.9,-2.3
201508,85.2,1.5
201509,79.9,4.9
201510,66.1,3.9
201511,45.7,-1.8
201512,36.5,-0.7
201601,36.2,0.5
201602,45.3,4.1
201603,54.4,5.7
201604,60.1,1.8
201605,67.3,-0.9
201606,86.6,7.8
201607,88.8,2.6
201608,84.7,1.0
201609,74.9,-0.1
201610,65.6,3.4
201611,53.4,5.9
201612,37.5,0.3
201701,34.7,-1.0
201702,46.1,4.9
201703,58.0,9.3
201704,58.7,0.4
201705,69.7,1.5
201706,85.2,6.4
201707,89.6,3.4
201708,85.8,2.1
201709,74.0,-1.0
201710,62.8,0.6
201711,55.6,8.1
201712,44.1,6.9
201801,43.9,8.2
201802,44.0,2.8
201803,51.1,2.4
201804,63.0,4.7
201805,72.1,3.9
201806,84.9,6.1
201807,90.7,4.5
201808,86.9,3.2
201809,81.3,6.3
201810,58.1,-4.1
201811,46.7,-0.8
201812,36.9,-0.3
201901,36.5,0.8
201902,36.9,-4.3
201903,48.3,-0.4
201904,60.8,2.5
201905,62.3,-5.9
201906,78.2,-0.6
201907,88.1,1.9
201908,88.2,4.5
201909,77.3,2.3
201910,57.9,-4.3
201911,51.0,3.5
201912,37.4,0.2
202001,38.4,2.7
202002,43.1,1.9
202003,51.6,2.9
202004,60.8,2.5
202005,73.6,5.4
202006,80.5,1.7
202007,89.3,3.1
202008,91.6,7.9
202009,79.9,4.9
202010,68.3,6.1
202011,51.2,3.7
202012,38.7,1.5
202101,38.7,3.0
202102,42.8,1.6
202103,50.6,1.9
202104,61.6,3.3
202105,71.8,3.6
202106,87.5,8.7
202107,90.6,4.4
202108,85.6,1.9
202109,79.4,4.4
202110,59.6,-2.6
202111,54.8,7.3
202112,40.9,3.7
202201,40.7,5.0
202202,42.1,0.9
202203,52.5,3.8
202204,60.4,2.1
202205,69.4,1.2
202206,82.9,4.1
