Utah, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,22.3,7.4
201502,27.0,7.5
201503,31.4,5.5
201504,33.5,0.8
201505,42.2,1.1
201506,55.1,5.9
201507,56.2,-0.6
201508,56.8,1.7
201509,51.1,4.9
201510,42.6,7.0
201511,23.3,-1.2
201512,16.7,-0.1
201601,17.1,2.2
201602,22.0,2.5
201603,29.9,4.0
201604,35.6,2.9
201605,41.5,0.4
201606,55.2,6.0
201607,58.6,1.8
201608,55.5,0.4
201609,47.3,1.1
201610,40.6,5.0
201611,29.9,5.4
201612,17.2,0.4
201701,17.1,2.2
201702,26.9,7.4
201703,32.6,6.7
201704,33.2,0.5
201705,41.5,0.4
201706,53.7,4.5
201707,60.6,3.8
201708,57.2,2.1
201709,47.5,1.3
201710,33.4,-2.2
201711,30.4,5.9
201712,18.8,2.0
201801,21.7,6.8
201802,20.5,1.0
201803,27.4,1.5
201804,35.0,2.3
201805,44.4,3.3
201806,53.3,4.1
201807,61.5,4.7
201808,57.9,2.8
201809,50.3,4.1
201810,37.0,1.4
201811,23.2,-1.3
201812,17.9,1.1
201901,17.6,2.7
201902,17.4,-2.1
201903,28.0,2.1
201904,36.4,3.7
201905,38.7,-2.4
201906,48.9,-0.3
201907,58.4,1.6
201908,57.4,2.3
201909,48.8,2.6
201910,27.8,-7.8
201911,26.0,1.5
201912,20.2,3.4
202001,19.0,4.1
202002,19.0,-0.5
202003,30.0,4.1
202004,34.0,1.3
202005,44.4,3.3
202006,50.3,1.1
202007,58.1,1.3
202008,60.0,4.9
202009,48.0,1.8
202010,37.2,1.6
202011,26.3,1.8
202012,15.8,-1.0
202101,17.4,2.5
202102,21.6,2.1
202103,26.1,0.2
202104,33.2,0.5
202105,42.5,1.4
202106,56.3,7.1
202107,61.8,5.0
202108,56.2,1.1
202109,49.5,3.3
202110,36.1,0.5
202111,30.1,5.6
202112,21.3,4.5
202201,17.8,2.9
202202,16.8,-2.7
202203,27.6,1.7
202204,32.1,-0.6
202205,40.1,-1.0
202206,52.4,3.2
