Utah, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-2.09
201502,-2.77
201503,-3.61
201504,-3.76
201505,-2.30
201506,-2.55
201507,-2.36
201508,-2.22
201509,-2.28
201510,-1.84
201511,-1.61
201512,-1.32
201601,-0.95
201602,-1.20
201603,-1.50
201604,-1.17
201605,-0.83
201606,-1.27
201607,-1.92
201608,-2.15
201609,0.91
201610,-0.43
201611,-0.85
201612,0.44
201701,1.67
201702,1.96
201703,-0.04
201704,0.07
201705,-0.16
201706,-0.38
201707,-0.41
201708,-0.76
201709,-0.22
201710,-0.90
201711,-1.70
201712,-2.30
201801,-2.69
201802,-3.09
201803,-3.31
201804,-3.65
201805,-4.06
201806,-5.19
201807,-5.72
201808,-5.66
201809,-6.15
201810,1.39
201811,1.24
201812,1.00
201901,1.32
201902,2.35
201903,3.35
201904,3.37
201905,4.83
201906,5.00
201907,5.09
201908,-0.69
201909,-0.82
201910,-1.16
201911,-0.59
201912,-0.26
202001,-0.40
202002,-0.57
202003,-0.59
202004,-1.11
202005,-1.90
202006,-2.06
202007,-2.72
202008,-3.81
202009,-4.26
202010,-4.75
202011,-4.74
202012,-4.78
202101,-4.89
202102,-4.91
202103,-4.89
202104,-5.00
202105,-5.68
202106,-6.58
202107,-6.32
202108,-5.11
202109,-4.89
202110,-3.55
202111,-4.16
202112,-3.06
202201,-3.38
202202,-3.62
202203,-3.91
202204,-4.08
202205,-4.37
202206,-4.88
