Utah, Precipitation
Units: Inches
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,0.92,-0.24
201502,0.63,-0.38
201503,0.85,-0.55
201504,0.98,-0.07
201505,3.20,1.87
201506,0.97,0.51
201507,1.46,0.46
201508,1.27,0.30
201509,0.88,-0.06
201510,1.80,0.59
201511,1.07,0.18
201512,1.38,0.11
201601,1.42,0.26
201602,0.62,-0.39
201603,1.20,-0.20
201604,1.70,0.65
201605,1.36,0.03
201606,0.33,-0.13
201607,0.62,-0.38
201608,0.94,-0.03
201609,2.08,1.14
201610,0.89,-0.32
201611,0.95,0.06
201612,1.93,0.66
201701,2.76,1.60
201702,1.54,0.53
201703,1.59,0.19
201704,1.17,0.12
201705,0.64,-0.69
201706,0.16,-0.30
201707,1.39,0.39
201708,0.94,-0.03
201709,1.54,0.60
201710,0.18,-1.03
201711,0.53,-0.36
201712,0.39,-0.88
201801,0.86,-0.30
201802,0.83,-0.18
201803,1.29,-0.11
201804,0.86,-0.19
201805,1.14,-0.19
201806,0.05,-0.41
201807,0.84,-0.16
201808,1.02,0.05
201809,0.08,-0.86
201810,2.93,1.72
201811,0.85,-0.04
201812,0.83,-0.44
201901,1.51,0.35
201902,2.31,1.30
201903,2.61,1.21
201904,1.74,0.69
201905,2.94,1.61
201906,0.49,0.03
201907,0.59,-0.41
201908,0.35,-0.62
201909,0.85,-0.09
201910,0.24,-0.97
201911,1.86,0.97
201912,1.45,0.18
202001,0.77,-0.39
202002,0.71,-0.30
202003,1.53,0.13
202004,0.56,-0.49
202005,0.32,-1.01
202006,0.95,0.49
202007,0.40,-0.60
202008,0.14,-0.83
202009,0.25,-0.69
202010,0.20,-1.01
202011,0.73,-0.16
202012,0.68,-0.59
202101,0.74,-0.42
202102,0.92,-0.09
202103,1.19,-0.21
202104,0.73,-0.32
202105,0.34,-0.99
202106,0.25,-0.21
202107,1.67,0.67
202108,2.14,1.17
202109,0.87,-0.07
202110,2.21,1.00
202111,0.25,-0.64
202112,2.24,0.97
202201,0.31,-0.85
202202,0.50,-0.51
202203,0.90,-0.50
202204,0.65,-0.40
202205,0.69,-0.64
202206,0.47,0.01
