Utah, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,32.1,3.3
201502,38.9,6.2
201503,44.9,3.8
201504,47.1,-0.4
201505,53.8,-1.6
201506,70.0,1.5
201507,70.1,-4.1
201508,71.0,-1.1
201509,65.5,1.6
201510,54.3,4.6
201511,34.5,-4.6
201512,26.6,-2.0
201601,26.6,-2.2
201602,33.7,1.0
201603,42.2,1.1
201604,47.9,0.4
201605,54.4,-1.0
201606,70.9,2.4
201607,73.7,-0.5
201608,70.1,-2.0
201609,61.1,-2.8
201610,53.2,3.5
201611,41.6,2.5
201612,27.4,-1.2
201701,25.9,-2.9
201702,36.5,3.8
201703,45.3,4.2
201704,46.0,-1.5
201705,55.6,0.2
201706,69.5,1.0
201707,75.0,0.8
201708,71.6,-0.5
201709,60.7,-3.2
201710,48.1,-1.6
201711,43.0,3.9
201712,31.4,2.8
201801,32.8,4.0
201802,32.2,-0.5
201803,39.2,-1.9
201804,49.0,1.5
201805,58.3,2.9
201806,69.1,0.6
201807,76.1,1.9
201808,72.4,0.3
201809,65.8,1.9
201810,47.5,-2.2
201811,35.0,-4.1
201812,27.4,-1.2
201901,27.0,-1.8
201902,27.2,-5.5
201903,38.2,-2.9
201904,48.6,1.1
201905,50.5,-4.9
201906,63.6,-4.9
201907,73.3,-0.9
201908,72.8,0.7
201909,63.1,-0.8
201910,42.9,-6.8
201911,38.5,-0.6
201912,28.8,0.2
202001,28.7,-0.1
202002,31.1,-1.6
202003,40.8,-0.3
202004,47.4,-0.1
202005,59.0,3.6
202006,65.4,-3.1
202007,73.7,-0.5
202008,75.8,3.7
202009,63.9,0.0
202010,52.8,3.1
202011,38.8,-0.3
202012,27.2,-1.4
202101,28.1,-0.7
202102,32.2,-0.5
202103,38.4,-2.7
202104,47.4,-0.1
202105,57.1,1.7
202106,71.9,3.4
202107,76.2,2.0
202108,70.9,-1.2
202109,64.4,0.5
202110,47.9,-1.8
202111,42.5,3.4
202112,31.1,2.5
202201,29.3,0.5
202202,29.4,-3.3
202203,40.0,-1.1
202204,46.3,-1.2
202205,54.8,-0.6
202206,67.6,-0.9
202207,75.5,1.3
202208,72.3,0.2
202209,66.6,2.7
202210,51.0,1.3
