Vermont, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,23.8,-1.9
201502,17.6,-10.0
201503,33.4,-4.2
201504,50.6,-0.1
201505,72.7,8.2
201506,70.2,-3.0
201507,77.6,-0.2
201508,77.8,2.7
201509,74.9,7.5
201510,55.0,-1.1
201511,49.3,7.6
201512,42.1,12.9
201601,29.9,4.2
201602,34.0,6.4
201603,44.0,6.4
201604,50.8,0.1
201605,66.2,1.7
201606,74.4,1.2
201607,79.3,1.5
201608,78.8,3.7
201609,72.2,4.8
201610,56.9,0.8
201611,45.2,3.5
201612,32.2,3.0
201701,32.6,6.9
201702,35.2,7.6
201703,33.1,-4.5
201704,56.0,5.3
201705,62.1,-2.4
201706,72.8,-0.4
201707,75.9,-1.9
201708,75.0,-0.1
201709,72.4,5.0
201710,64.5,8.4
201711,42.0,0.3
201712,26.0,-3.2
201801,26.0,0.3
201802,35.7,8.1
201803,36.4,-1.2
201804,45.0,-5.7
201805,70.1,5.6
201806,72.4,-0.8
201807,81.7,3.9
201808,78.5,3.4
201809,70.7,3.3
201810,51.9,-4.2
201811,36.6,-5.1
201812,32.0,2.8
201901,25.0,-0.7
201902,29.0,1.4
201903,37.0,-0.6
201904,51.2,0.5
201905,60.8,-3.7
201906,72.8,-0.4
201907,81.0,3.2
201908,76.8,1.7
201909,68.5,1.1
201910,57.2,1.1
201911,37.5,-4.2
201912,31.9,2.7
202001,32.2,6.5
202002,32.1,4.5
202003,43.1,5.5
202004,48.9,-1.8
202005,65.2,0.7
202006,75.6,2.4
202007,82.0,4.2
202008,76.6,1.5
202009,69.6,2.2
202010,56.0,-0.1
202011,47.9,6.2
202012,35.1,5.9
202101,27.4,1.7
202102,28.1,0.5
202103,43.5,5.9
202104,54.6,3.9
202105,65.7,1.2
202106,77.6,4.4
202107,73.8,-4.0
202108,78.8,3.7
202109,69.8,2.4
202110,60.4,4.3
202111,43.4,1.7
202112,36.4,7.2
202201,23.5,-2.2
202202,32.6,5.0
202203,40.9,3.3
202204,52.0,1.3
202205,70.4,5.9
202206,73.0,-0.2
