Vermont, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,0.6,-4.2
201502,-6.8,-12.2
201503,11.2,-5.6
201504,28.4,-0.6
201505,44.5,4.6
201506,49.5,0.6
201507,54.9,0.9
201508,55.5,3.7
201509,49.9,5.3
201510,33.5,-0.8
201511,29.0,4.3
201512,28.1,16.9
201601,11.9,7.1
201602,13.7,8.3
201603,23.1,6.3
201604,25.6,-3.4
201605,41.9,2.0
201606,49.6,0.7
201607,55.4,1.4
201608,56.2,4.4
201609,47.7,3.1
201610,38.5,4.2
201611,28.4,3.7
201612,15.7,4.5
201701,17.1,12.3
201702,16.0,10.6
201703,13.9,-2.9
201704,34.3,5.3
201705,41.4,1.5
201706,50.1,1.2
201707,54.6,0.6
201708,51.6,-0.2
201709,49.3,4.7
201710,41.5,7.2
201711,24.0,-0.7
201712,9.8,-1.4
201801,7.0,2.2
201802,15.4,10.0
201803,20.0,3.2
201804,27.1,-1.9
201805,42.9,3.0
201806,47.8,-1.1
201807,56.8,2.8
201808,58.4,6.6
201809,50.6,6.0
201810,37.1,2.8
201811,23.5,-1.2
201812,14.0,2.8
201901,4.9,0.1
201902,9.0,3.6
201903,14.8,-2.0
201904,31.3,2.3
201905,40.7,0.8
201906,48.2,-0.7
201907,56.8,2.8
201908,52.4,0.6
201909,45.0,0.4
201910,37.4,3.1
201911,21.2,-3.5
201912,14.8,3.6
202001,14.7,9.9
202002,12.7,7.3
202003,23.0,6.2
202004,28.6,-0.4
202005,40.1,0.2
202006,50.0,1.1
202007,59.8,5.8
202008,53.9,2.1
202009,44.7,0.1
202010,36.9,2.6
202011,27.9,3.2
202012,19.5,8.3
202101,13.5,8.7
202102,9.6,4.2
202103,18.3,1.5
202104,31.9,2.9
202105,41.2,1.3
202106,53.4,4.5
202107,55.7,1.7
202108,58.8,7.0
202109,49.0,4.4
202110,42.9,8.6
202111,25.2,0.5
202112,19.8,8.6
202201,-0.2,-5.0
202202,9.2,3.8
202203,20.4,3.6
202204,30.6,1.6
202205,43.2,3.3
202206,49.6,0.7
