Vermont, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.12
201502,-0.59
201503,-1.39
201504,-1.55
201505,-2.00
201506,2.19
201507,0.04
201508,-0.56
201509,-0.48
201510,-0.39
201511,-1.41
201512,0.68
201601,0.00
201602,1.20
201603,-0.13
201604,-0.39
201605,-0.86
201606,-1.14
201607,-1.28
201608,-1.09
201609,-1.93
201610,-2.11
201611,-2.62
201612,0.12
201701,-0.19
201702,0.13
201703,0.26
201704,0.34
201705,1.10
201706,2.15
201707,2.09
201708,-0.07
201709,-0.55
201710,-0.16
201711,-0.78
201712,-0.81
201801,0.25
201802,0.42
201803,0.38
201804,1.32
201805,-0.93
201806,-0.96
201807,-1.00
201808,-1.18
201809,-1.31
201810,0.26
201811,1.50
201812,1.54
201901,2.36
201902,2.17
201903,1.45
201904,2.42
201905,2.99
201906,3.51
201907,2.72
201908,2.24
201909,1.65
201910,2.64
201911,2.58
201912,2.41
202001,2.11
202002,2.24
202003,1.90
202004,2.10
202005,-0.35
202006,-1.12
202007,-1.40
202008,-1.40
202009,-1.98
202010,-1.73
202011,-2.09
202012,-1.81
202101,-1.98
202102,-2.01
202103,-2.57
202104,-2.22
202105,-2.56
202106,-3.03
202107,1.52
202108,1.14
202109,0.99
202110,1.28
202111,-0.19
202112,-0.30
202201,-0.96
202202,0.83
202203,0.80
202204,1.47
202205,-0.45
202206,-0.72
