Vermont, Precipitation
Units: Inches
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,2.79,0.05
201502,1.79,-1.27
201503,1.34,-1.20
201504,2.71,-1.36
201505,3.06,-0.42
201506,8.63,4.07
201507,4.08,-0.42
201508,2.95,-0.95
201509,4.73,1.37
201510,3.48,-1.22
201511,1.81,-1.52
201512,5.07,1.41
201601,1.62,-1.12
201602,4.71,1.65
201603,2.96,0.42
201604,2.60,-1.47
201605,2.74,-0.74
201606,3.29,-1.27
201607,3.83,-0.67
201608,4.82,0.92
201609,2.12,-1.24
201610,3.55,-1.15
201611,2.78,-0.55
201612,3.60,-0.06
201701,2.53,-0.21
201702,2.84,-0.22
201703,3.30,0.76
201704,4.19,0.12
201705,5.72,2.24
201706,6.46,1.90
201707,4.23,-0.27
201708,3.55,-0.35
201709,2.93,-0.43
201710,5.26,0.56
201711,2.19,-1.14
201712,3.10,-0.56
201801,3.49,0.75
201802,2.95,-0.11
201803,3.03,0.49
201804,4.70,0.63
201805,1.99,-1.49
201806,3.85,-0.71
201807,4.35,-0.15
201808,4.20,0.30
201809,4.03,0.67
201810,4.40,-0.30
201811,6.33,3.00
201812,3.75,0.09
201901,5.05,2.31
201902,2.71,-0.35
201903,2.06,-0.48
201904,5.59,1.52
201905,5.66,2.18
201906,5.61,1.05
201907,3.39,-1.11
201908,3.79,-0.11
201909,3.18,-0.18
201910,6.83,2.13
201911,3.98,0.65
201912,3.55,-0.11
202001,2.82,0.08
202002,3.23,0.17
202003,2.93,0.39
202004,3.94,-0.13
202005,2.95,-0.53
202006,2.38,-2.18
202007,4.07,-0.43
202008,4.35,0.45
202009,2.63,-0.73
202010,4.52,-0.18
202011,2.91,-0.42
202012,3.48,-0.18
202101,2.17,-0.57
202102,2.21,-0.85
202103,1.53,-1.01
202104,3.89,-0.18
202105,2.51,-0.97
202106,2.97,-1.59
202107,7.55,3.05
202108,3.67,-0.23
202109,3.90,0.54
202110,4.83,0.13
202111,3.31,-0.02
202112,3.06,-0.60
202201,1.44,-1.30
202202,4.06,1.00
202203,3.13,0.59
202204,4.92,0.85
202205,3.24,-0.24
202206,3.29,-1.27
