Vermont, Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2022
Missing: -99
Date,Value,Anomaly
201501,12.2,-5.9
201502,5.3,-14.9
201503,22.3,-6.2
201504,39.5,-0.9
201505,58.6,4.3
201506,59.9,-1.8
201507,66.2,-1.3
201508,66.6,0.0
201509,62.4,3.0
201510,44.3,-3.6
201511,39.2,4.8
201512,35.1,9.6
201601,20.9,2.8
201602,23.9,3.7
201603,33.6,5.1
201604,38.2,-2.2
201605,54.0,-0.3
201606,62.0,0.3
201607,67.4,-0.1
201608,67.5,0.9
201609,59.9,0.5
201610,47.7,-0.2
201611,36.8,2.4
201612,23.9,-1.6
201701,24.8,6.7
201702,25.6,5.4
201703,23.5,-5.0
201704,45.2,4.8
201705,51.8,-2.5
201706,61.5,-0.2
201707,65.2,-2.3
201708,63.3,-3.3
201709,60.8,1.4
201710,53.0,5.1
201711,33.0,-1.4
201712,17.9,-7.6
201801,16.5,-1.6
201802,25.5,5.3
201803,28.2,-0.3
201804,36.1,-4.3
201805,56.5,2.2
201806,60.1,-1.6
201807,69.2,1.7
201808,68.4,1.8
201809,60.6,1.2
201810,44.5,-3.4
201811,30.0,-4.4
201812,23.0,-2.5
201901,14.9,-3.2
201902,19.0,-1.2
201903,25.9,-2.6
201904,41.2,0.8
201905,50.8,-3.5
201906,60.5,-1.2
201907,68.9,1.4
201908,64.6,-2.0
201909,56.8,-2.6
201910,47.3,-0.6
201911,29.3,-5.1
201912,23.3,-2.2
202001,23.4,5.3
202002,22.4,2.2
202003,33.0,4.5
202004,38.8,-1.6
202005,52.6,-1.7
202006,62.8,1.1
202007,70.9,3.4
202008,65.2,-1.4
202009,57.2,-2.2
202010,46.4,-1.5
202011,37.9,3.5
202012,27.3,1.8
202101,20.4,2.3
202102,18.8,-1.4
202103,30.9,2.4
202104,43.2,2.8
202105,53.4,-0.9
202106,65.5,3.8
202107,64.8,-2.7
202108,68.8,2.2
202109,59.4,0.0
202110,51.6,3.7
202111,34.3,-0.1
202112,28.1,2.6
202201,11.6,-6.5
202202,20.9,0.7
202203,30.6,2.1
202204,41.3,0.9
202205,56.8,2.5
202206,61.3,-0.4
202207,67.4,-0.1
202208,68.4,1.8
202209,57.8,-1.6
202210,48.2,0.3
