Virginia, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,43.1,-1.5
201502,39.8,-7.4
201503,55.6,-0.6
201504,68.1,1.9
201505,79.2,3.8
201506,83.7,1.4
201507,84.7,-0.9
201508,84.0,0.2
201509,79.4,1.1
201510,67.1,-1.2
201511,61.8,5.0
201512,59.0,12.3
201601,43.0,-1.6
201602,47.6,0.4
201603,63.7,7.5
201604,68.2,2.0
201605,71.5,-3.9
201606,83.0,0.7
201607,87.5,1.9
201608,86.7,2.9
201609,81.8,3.5
201610,71.0,2.7
201611,61.3,4.5
201612,48.8,2.1
201701,48.3,3.7
201702,58.7,11.5
201703,57.6,1.4
201704,72.1,5.9
201705,73.8,-1.6
201706,82.3,0.0
201707,87.5,1.9
201708,82.7,-1.1
201709,77.9,-0.4
201710,72.1,3.8
201711,57.4,0.6
201712,46.7,0.0
201801,42.9,-1.7
201802,55.2,8.0
201803,51.0,-5.2
201804,64.4,-1.8
201805,80.9,5.5
201806,83.1,0.8
201807,85.3,-0.3
201808,85.0,1.2
201809,80.5,2.2
201810,68.8,0.5
201811,52.7,-4.1
201812,48.5,1.8
201901,45.3,0.7
201902,51.7,4.5
201903,55.1,-1.1
201904,70.0,3.8
201905,80.2,4.8
201906,81.5,-0.8
201907,87.8,2.2
201908,85.5,1.7
201909,84.5,6.2
201910,71.3,3.0
201911,54.0,-2.8
201912,51.4,4.7
202001,49.9,5.3
202002,52.3,5.1
202003,62.4,6.2
202004,65.1,-1.1
202005,70.6,-4.8
202006,81.6,-0.7
202007,89.8,4.2
202008,84.4,0.6
202009,75.6,-2.7
202010,69.8,1.5
202011,63.2,6.4
202012,48.0,1.3
202101,45.1,0.5
202102,44.6,-2.6
202103,61.0,4.8
202104,68.2,2.0
202105,75.0,-0.4
202106,82.8,0.5
202107,86.7,1.1
202108,86.5,2.7
202109,79.5,1.2
202110,72.3,4.0
202111,56.6,-0.2
202112,57.1,10.4
202201,42.8,-1.8
202202,52.7,5.5
202203,61.6,5.4
202204,68.0,1.8
202205,75.9,0.5
202206,83.8,1.5
