Virginia, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,24.4,-0.6
201502,18.0,-8.1
201503,32.7,-0.6
201504,43.8,2.1
201505,54.9,3.9
201506,63.7,4.3
201507,65.8,2.0
201508,62.4,0.0
201509,59.1,3.2
201510,45.5,1.5
201511,40.4,6.2
201512,40.3,13.4
201601,23.2,-1.8
201602,29.1,3.0
201603,39.8,6.5
201604,42.1,0.4
201605,52.2,1.2
201606,60.7,1.3
201607,67.1,3.3
201608,67.4,5.0
201609,61.9,6.0
201610,48.5,4.5
201611,35.3,1.1
201612,29.4,2.5
201701,31.8,6.8
201702,33.4,7.3
201703,34.2,0.9
201704,49.0,7.3
201705,53.0,2.0
201706,60.0,0.6
201707,66.1,2.3
201708,62.8,0.4
201709,56.9,1.0
201710,48.3,4.3
201711,34.9,0.7
201712,27.6,0.7
201801,20.7,-4.3
201802,35.1,9.0
201803,31.4,-1.9
201804,40.0,-1.7
201805,58.6,7.6
201806,63.1,3.7
201807,64.8,1.0
201808,65.6,3.2
201809,65.1,9.2
201810,49.2,5.2
201811,34.8,0.6
201812,30.9,4.0
201901,27.3,2.3
201902,32.0,5.9
201903,32.8,-0.5
201904,46.3,4.6
201905,57.6,6.6
201906,60.8,1.4
201907,66.3,2.5
201908,63.9,1.5
201909,60.5,4.6
201910,49.9,5.9
201911,32.3,-1.9
201912,31.5,4.6
202001,31.3,6.3
202002,32.6,6.5
202003,41.0,7.7
202004,41.4,-0.3
202005,50.3,-0.7
202006,61.0,1.6
202007,67.6,3.8
202008,66.6,4.2
202009,57.1,1.2
202010,48.3,4.3
202011,39.4,5.2
202012,28.7,1.8
202101,28.0,3.0
202102,28.7,2.6
202103,36.1,2.8
202104,42.3,0.6
202105,49.8,-1.2
202106,61.3,1.9
202107,65.2,1.4
202108,66.3,3.9
202109,57.5,1.6
202110,52.5,8.5
202111,32.4,-1.8
202112,34.6,7.7
202201,23.1,-1.9
202202,28.9,2.8
202203,36.5,3.2
202204,42.4,0.7
202205,54.2,3.2
202206,60.5,1.1
