Virginia, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,0.10
201502,0.02
201503,0.05
201504,0.48
201505,-0.94
201506,1.15
201507,1.30
201508,0.69
201509,1.28
201510,1.77
201511,1.98
201512,2.38
201601,2.10
201602,2.62
201603,1.31
201604,0.68
201605,1.90
201606,2.28
201607,2.13
201608,-0.44
201609,-0.04
201610,-0.05
201611,-0.72
201612,-0.66
201701,-0.33
201702,-1.58
201703,-1.70
201704,0.32
201705,1.74
201706,-0.12
201707,-0.39
201708,-0.25
201709,-0.81
201710,-0.56
201711,-1.21
201712,-2.00
201801,-2.01
201802,0.36
201803,0.22
201804,0.79
201805,1.69
201806,2.42
201807,2.64
201808,3.03
201809,4.33
201810,4.70
201811,5.71
201812,6.10
201901,5.63
201902,5.93
201903,5.18
201904,4.80
201905,3.84
201906,4.36
201907,3.87
201908,3.18
201909,1.68
201910,1.98
201911,1.64
201912,1.57
202001,1.47
202002,2.07
202003,1.20
202004,2.31
202005,2.61
202006,2.98
202007,2.36
202008,3.50
202009,4.39
202010,4.75
202011,5.14
202012,5.52
202101,4.95
202102,5.31
202103,-0.28
202104,-0.58
202105,-1.17
202106,-0.98
202107,-0.99
202108,-0.45
202109,-0.20
202110,-0.32
202111,-1.05
202112,-2.06
202201,-1.35
202202,-1.42
202203,-1.58
202204,-1.73
202205,-1.01
202206,-1.14
